timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
475689502,0,0,167,160,100,23,35
476702594,0,0,166,158,95,21,34
477742333,0,0,165,156,100,25,43
478782012,0,0,166,157,100,29,39
479702250,0,0,167,153,100,24,44
480753526,0,0,166,157,97,25,64
481793985,0,0,166,159,97,22,55
482694094,0,0,166,159,97,24,41
483744285,0,0,166,160,96,25,59
484800166,0,0,165,156,100,24,39
485707813,0,0,165,158,100,22,58
486741901,0,0,166,157,100,25,57
487794361,0,0,166,159,97,24,49
488708833,0,0,168,160,98,24,56
489737634,0,0,162,155,97,23,59
490781978,0,0,160,157,96,24,47
491702423,0,0,160,152,96,23,46
492747707,0,0,163,156,100,26,45
493695343,0,0,161,157,100,25,50
494707244,0,0,165,158,100,24,54
495752264,0,0,160,156,99,26,44
496791056,0,0,163,156,97,23,54
497702633,0,0,161,153,97,25,43
498749083,0,0,164,157,96,32,35
499695695,0,0,162,155,97,20,38
500715105,0,0,162,156,100,23,42
501749928,0,0,163,156,100,27,48
502805630,0,0,165,158,96,25,61
503713295,0,0,160,153,100,23,50
504751136,0,0,162,156,97,33,42
505793232,0,0,162,157,98,23,52
506707442,0,0,158,158,100,23,47
507760098,0,0,156,154,100,22,50
508785161,0,0,163,158,98,21,59
509708832,0,0,161,154,100,23,43
510763972,0,0,163,156,100,21,40
511793635,0,0,164,156,97,22,37
512709366,0,0,165,156,98,22,41
513750968,0,0,156,156,98,22,47
514801595,0,0,157,159,100,25,49
515721220,0,0,162,157,100,23,42
516751628,0,0,161,157,100,22,60
517794814,0,0,165,160,100,23,55
