timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
476863887,476734639,0.0,4.0383834e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
477859179,477734637,0.0,4.038233e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
478864519,478735639,0.0,4.0360865e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
479859807,479734636,0.0,4.03801e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
480865128,480734635,0.0,4.037857e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
481860567,481734635,0.0,4.037681e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
482865748,482734635,0.0,4.037521e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
483861087,483734819,0.0,4.037376e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
484866361,484734739,0.0,4.0372456e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
485861868,485733637,0.0,4.0371274e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
486867066,486733637,0.0,4.0369414e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
487862438,487736636,0.0,4.036773e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
488867633,488733742,0.0,4.036661e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
489863072,489734636,0.0,4.0365994e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
490858347,490733658,0.0,4.0384734e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
491863743,491735635,0.0,4.0363043e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
492858942,492733636,0.0,4.0382065e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
493864231,493733642,0.0,4.038073e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
494859683,494733637,0.0,4.0379136e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
495864919,495733636,0.0,4.037808e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
496860215,496733644,0.0,4.0376362e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
497865522,497733639,0.0,4.0374807e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
498860845,498733637,0.0,4.0373397e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
499866446,499733636,0.0,4.037173e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
500861476,500734642,0.0,4.037062e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
501866789,501733639,0.0,4.037e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
502862111,502734635,0.0,4.0368254e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
503867445,503734636,0.0,4.036708e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
504862793,504734672,0.0,4.0366413e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
505858089,505733637,0.0,4.0385116e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
506863377,506735637,0.0,4.036339e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
507858774,507734439,0.0,4.038238e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
508864165,508733645,0.0,4.038063e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
509859371,509733869,0.0,4.0379045e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
510864669,510733637,0.0,4.0377613e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
511859986,511734635,0.0,4.037594e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
512865403,512733635,0.0,4.0374416e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
513860667,513733636,0.0,4.0373043e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
514865943,514732685,0.0,4.03718e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
515861252,515733635,0.0,4.0370287e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
516866584,516733636,0.0,4.036892e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
517862099,517733637,0.0,4.036728e-06,0.0,0,1,1,1,1,1,1,0,0,0,0
