timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
125875642,0,0,1,0,0,0,0,0
126384643,0,0,1,0,0,0,0,0
126894664,0,0,1,0,0,0,0,0
127404641,0,0,1,0,0,0,0,0
127913662,0,0,1,0,0,0,0,0
128422643,0,0,1,0,0,0,0,0
128932641,0,0,1,0,0,0,0,0
129442642,0,0,1,0,0,0,0,0
129952642,0,0,1,0,0,0,0,0
130462641,0,0,1,0,0,0,0,0
130972641,0,0,1,0,0,0,0,0
131482645,0,0,1,0,0,0,0,0
131992835,0,0,1,0,0,0,0,0
132502737,0,0,1,0,0,0,0,0
133012642,0,0,1,0,0,0,0,0
133522642,0,0,1,0,0,0,0,0
134032646,0,0,1,0,0,0,0,0
134542643,0,0,1,0,0,0,0,0
135052646,0,0,1,0,0,0,0,0
135561641,0,0,1,0,0,0,0,0
136071708,0,0,1,0,0,0,0,0
136581643,0,0,1,0,0,0,0,0
137091642,0,0,1,0,0,0,0,0
137601661,0,0,1,0,0,0,0,0
138111644,0,0,1,0,0,0,0,0
138621661,0,0,1,0,0,0,0,0
139131642,0,0,1,0,0,0,0,0
139641642,0,0,1,0,0,0,0,0
140150667,0,0,1,0,0,0,0,0
140660643,0,0,1,0,0,0,0,0
141170643,0,0,1,0,0,0,0,0
141680642,0,0,1,0,0,0,0,0
142189642,0,0,1,0,0,0,0,0
142699642,0,0,1,0,0,0,0,0
143209642,0,0,1,0,0,0,0,0
143719662,0,0,1,0,0,0,0,0
144229674,0,0,1,0,0,0,0,0
144738645,0,0,1,0,0,0,0,0
145248642,0,0,1,0,0,0,0,0
145758641,0,0,1,0,0,0,0,0
146267642,0,0,1,0,0,0,0,0
146776797,0,0,1,0,0,0,0,0
147285643,0,0,1,0,0,0,0,0
147794642,0,0,1,0,0,0,0,0
148304675,0,0,1,0,0,0,0,0
148814643,0,0,1,0,0,0,0,0
149324661,0,0,1,0,0,0,0,0
149834641,0,0,1,0,0,0,0,0
150344642,0,0,1,0,0,0,0,0
150854643,0,0,1,0,0,0,0,0
151364641,0,0,1,0,0,0,0,0
151874642,0,0,1,0,0,0,0,0
152384644,0,0,1,0,0,0,0,0
152894661,0,0,1,0,0,0,0,0
153404644,0,0,1,0,0,0,0,0
153915024,0,0,1,0,0,0,0,0
