timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
562253494,5.0607786,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
562753491,5.051312,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
563263532,5.071353,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
563763491,5.0399323,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
564263492,5.0431547,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
564763491,5.0171723,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
565253491,5.0476866,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
565753491,5.057254,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
566253493,5.0329833,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
566763493,5.040335,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
567263492,5.0445647,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
567763492,5.029962,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
568263492,5.0459747,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
568753491,5.037112,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
569253492,5.0342927,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
569753492,5.057858,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
570263492,5.041644,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
570763506,5.030667,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
571263492,5.037515,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
571763492,5.0394287,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
572253493,5.0356016,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
572753492,5.057254,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
573253492,5.0445647,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
