timestamp,bias_x[0],bias_x[1],bias_x[2],bias_x[3],bias_y[0],bias_y[1],bias_y[2],bias_y[3],bias_z[0],bias_z[1],bias_z[2],bias_z[3],valid[0],valid[1],valid[2],valid[3],stable[0],stable[1],stable[2],stable[3]
782497416,-0.00064420287,0.0012019278,0.0,0.0,0.0016130554,0.004284619,0.0,0.0,0.00061580876,0.0011363534,0.0,0.0,0,0,0,0,0,0,0,0
782511325,-0.0006208968,0.0012019278,0.0,0.0,0.001621166,0.004284619,0.0,0.0,0.00062241807,0.0011363534,0.0,0.0,0,0,0,0,0,0,0,0
782710205,-0.0006051385,0.0012024812,0.0,0.0,0.001555478,0.0043223095,0.0,0.0,0.00065027346,0.0011610126,0.0,0.0,0,0,0,0,0,0,0,0
782910203,-0.00061076647,0.0011711173,0.0,0.0,0.001548387,0.004303822,0.0,0.0,0.0006504923,0.0011325551,0.0,0.0,0,0,0,0,0,0,0,0
783110204,-0.00059317675,0.0011746736,0.0,0.0,0.0015500109,0.0043138987,0.0,0.0,0.00063729094,0.001063843,0.0,0.0,0,0,0,0,0,0,0,0
783310200,-0.000609061,0.0011676679,0.0,0.0,0.0015974758,0.004387819,0.0,0.0,0.0006340349,0.0010164182,0.0,0.0,0,0,0,0,0,0,0,0
783510203,-0.0006199981,0.0011386409,0.0,0.0,0.0016059777,0.004385244,0.0,0.0,0.00069612457,0.0010454336,0.0,0.0,0,0,0,0,0,0,0,0
783710203,-0.0006153946,0.0011617708,0.0,0.0,0.0016088312,0.0044142595,0.0,0.0,0.000697657,0.0011006884,0.0,0.0,0,0,0,0,0,0,0,0
783910203,-0.0006192507,0.0011237361,0.0,0.0,0.0016795583,0.0043744454,0.0,0.0,0.0006770059,0.0011398635,0.0,0.0,0,0,0,0,0,0,0,0
784110228,-0.0006492257,0.0010909752,0.0,0.0,0.0016793958,0.0044147284,0.0,0.0,0.0007157358,0.0011056981,0.0,0.0,0,0,0,0,0,0,0,0
784310204,-0.00060225994,0.0010523965,0.0,0.0,0.0017438083,0.0043812725,0.0,0.0,0.00072127266,0.0010781562,0.0,0.0,0,0,0,0,0,0,0,0
784510203,-0.00060315576,0.001076902,0.0,0.0,0.0018031514,0.004411769,0.0,0.0,0.0007082928,0.001097892,0.0,0.0,0,0,0,0,0,0,0,0
784710212,-0.0006279017,0.0010828475,0.0,0.0,0.0018098714,0.004425843,0.0,0.0,0.0006977564,0.0011057936,0.0,0.0,0,0,0,0,0,0,0,0
784910237,-0.0006470784,0.0011043894,0.0,0.0,0.001702395,0.0046093427,0.0,0.0,0.0007338132,0.0009818297,0.0,0.0,0,0,0,0,0,0,0,0
785110483,-0.000674454,0.0010934952,0.0,0.0,0.0016716935,0.0045556575,0.0,0.0,0.00071676006,0.0009949036,0.0,0.0,0,0,0,0,0,0,0,0
785310203,-0.0006991156,0.0010266033,0.0,0.0,0.0016821304,0.0044557033,0.0,0.0,0.00071263214,0.0009527942,0.0,0.0,0,0,0,0,0,0,0,0
785510203,-0.0006204602,0.0010792626,0.0,0.0,0.0016233942,0.0044780364,0.0,0.0,0.0007310924,0.0009647973,0.0,0.0,0,0,0,0,0,0,0,0
785710203,-0.00060722727,0.001120387,0.0,0.0,0.0016532177,0.0044771247,0.0,0.0,0.0007326351,0.0009911973,0.0,0.0,0,0,0,0,0,0,0,0
785910203,-0.000621853,0.0011204209,0.0,0.0,0.0016627043,0.004493754,0.0,0.0,0.0007232745,0.0010185883,0.0,0.0,0,0,0,0,0,0,0,0
786110203,-0.00060065,0.0011098107,0.0,0.0,0.0016557268,0.004518793,0.0,0.0,0.00073039334,0.001004831,0.0,0.0,0,0,0,0,0,0,0,0
786310203,-0.0005967386,0.001107933,0.0,0.0,0.0016370652,0.0045441203,0.0,0.0,0.0007448859,0.0010303503,0.0,0.0,0,0,0,0,0,0,0,0
786510199,-0.0006051366,0.0011463491,0.0,0.0,0.001631145,0.004557812,0.0,0.0,0.00074490794,0.0010449378,0.0,0.0,0,0,0,0,0,0,0,0
786710204,-0.00061761175,0.0011754689,0.0,0.0,0.0016063456,0.0045641037,0.0,0.0,0.00072922034,0.0010821872,0.0,0.0,0,0,0,0,0,0,0,0
786910203,-0.0006058904,0.0011984118,0.0,0.0,0.0016217177,0.0046109995,0.0,0.0,0.0007579057,0.0011195611,0.0,0.0,0,0,0,0,0,0,0,0
787110203,-0.0006245772,0.001177207,0.0,0.0,0.0016326988,0.004635552,0.0,0.0,0.0007529712,0.0011179217,0.0,0.0,0,0,0,0,0,0,0,0
787310221,-0.0005730457,0.0011373195,0.0,0.0,0.0016713658,0.0045754015,0.0,0.0,0.00075151864,0.0011346146,0.0,0.0,0,0,0,0,0,0,0,0
787510203,-0.0006408409,0.001144023,0.0,0.0,0.0015879748,0.0045811194,0.0,0.0,0.0007451651,0.0011721266,0.0,0.0,0,0,0,0,0,0,0,0
787710202,-0.0005939764,0.0011415422,0.0,0.0,0.0016362413,0.0045313914,0.0,0.0,0.0007371474,0.001185615,0.0,0.0,0,0,0,0,0,0,0,0
787910199,-0.00058830087,0.0011373513,0.0,0.0,0.001606893,0.004478586,0.0,0.0,0.0007416697,0.0012085282,0.0,0.0,0,0,0,0,0,0,0,0
788110204,-0.0005830879,0.0011241863,0.0,0.0,0.0015775046,0.0044559217,0.0,0.0,0.0007301419,0.0011889486,0.0,0.0,0,0,0,0,0,0,0,0
788310335,-0.00045765575,0.0011668715,0.0,0.0,0.001650509,0.0044697635,0.0,0.0,0.0007699149,0.001266226,0.0,0.0,0,0,0,0,0,0,0,0
788510202,-0.00040368782,0.0011607923,0.0,0.0,0.0016995869,0.0044625187,0.0,0.0,0.0007993478,0.0012907656,0.0,0.0,0,0,0,0,0,0,0,0
788710200,-0.0003453454,0.0011160866,0.0,0.0,0.0016809553,0.0044413265,0.0,0.0,0.0008021365,0.0012621616,0.0,0.0,0,0,0,0,0,0,0,0
788910202,-0.00036848433,0.0011159625,0.0,0.0,0.0017091328,0.0044509885,0.0,0.0,0.00078260124,0.0012937001,0.0,0.0,0,0,0,0,0,0,0,0
789110203,-0.00043580186,0.0011004802,0.0,0.0,0.0017248526,0.004496975,0.0,0.0,0.00076087174,0.0012570276,0.0,0.0,0,0,0,0,0,0,0,0
789310203,-0.0004303533,0.001095191,0.0,0.0,0.0017808684,0.0045132274,0.0,0.0,0.000765357,0.0012696055,0.0,0.0,0,0,0,0,0,0,0,0
789510199,-0.00040281407,0.0010647646,0.0,0.0,0.0017336764,0.004528505,0.0,0.0,0.0007894924,0.0012749215,0.0,0.0,0,0,0,0,0,0,0,0
789710203,-0.00039212755,0.0010467945,0.0,0.0,0.0017311842,0.00447762,0.0,0.0,0.0007862931,0.0012731322,0.0,0.0,0,0,0,0,0,0,0,0
789910204,-0.00035075474,0.0010342436,0.0,0.0,0.0017666713,0.0044099116,0.0,0.0,0.0007769819,0.0012475437,0.0,0.0,0,0,0,0,0,0,0,0
790110202,-0.000338713,0.0010525662,0.0,0.0,0.0017416324,0.0044876975,0.0,0.0,0.0007940911,0.0012419063,0.0,0.0,0,0,0,0,0,0,0,0
790310202,-0.0003055939,0.0010482229,0.0,0.0,0.0017541575,0.004465564,0.0,0.0,0.0008102793,0.0012594322,0.0,0.0,0,0,0,0,0,0,0,0
790510203,-0.00030616915,0.0011197745,0.0,0.0,0.0017922291,0.0045119193,0.0,0.0,0.000790217,0.0012209961,0.0,0.0,0,0,0,0,0,0,0,0
790710203,-0.00031626865,0.0011372056,0.0,0.0,0.0017965805,0.004544246,0.0,0.0,0.00080595986,0.0012166261,0.0,0.0,0,0,0,0,0,0,0,0
790910202,-0.00033791584,0.0012094583,0.0,0.0,0.0017737336,0.0046420908,0.0,0.0,0.0008028308,0.0012149084,0.0,0.0,0,0,0,0,0,0,0,0
791110213,-0.00031175368,0.0011576556,0.0,0.0,0.0018158578,0.004583702,0.0,0.0,0.0007939574,0.0012474927,0.0,0.0,0,0,0,0,0,0,0,0
791310247,-0.00030186126,0.0011969681,0.0,0.0,0.0018681715,0.0046134335,0.0,0.0,0.00076516456,0.0012654691,0.0,0.0,0,0,0,0,0,0,0,0
791510890,-0.00027807266,0.0012327661,0.0,0.0,0.0019695298,0.0045988634,0.0,0.0,0.00079148076,0.0012859192,0.0,0.0,0,0,0,0,0,0,0,0
791710203,-0.0002293136,0.001247106,0.0,0.0,0.0019806698,0.0046326467,0.0,0.0,0.00083808997,0.00132094,0.0,0.0,0,0,0,0,0,0,0,0
791910203,-0.00024931328,0.0012371596,0.0,0.0,0.0019887364,0.004626807,0.0,0.0,0.0008336251,0.0013165539,0.0,0.0,0,0,0,0,0,0,0,0
792110203,-0.00025661686,0.0012455474,0.0,0.0,0.0019511394,0.0046254797,0.0,0.0,0.00087620085,0.0013060535,0.0,0.0,0,0,0,0,0,0,0,0
