timestamp,timestamp_sample,device_id,pressure,temperature,error_count
783223047,783222467,4028193,102008.0,38.719997,0
784238271,784237690,4028193,102004.0,38.719997,0
785242686,785242106,4028193,102010.0,38.719997,0
786247048,786246468,4028193,102002.0,38.71,0
787240958,787240378,4028193,102010.0,38.719997,0
788234736,788234156,4028193,102003.0,38.71,0
789228306,789227724,4028193,102012.0,38.719997,0
790243492,790242912,4028193,102004.0,38.719997,0
791237145,791236564,4028193,102004.0,38.719997,0
792241491,792240911,4028193,102002.0,38.71,0
793245843,793245263,4028193,102000.0,38.71,0
794239475,794238895,4028193,102003.0,38.719997,0
795233062,795232467,4028193,102008.0,38.719997,0
796226627,796226047,4028193,102003.0,38.71,0
797241856,797241276,4028193,102003.0,38.719997,0
798235449,798234869,4028193,102007.0,38.71,0
799239892,799239312,4028193,102001.0,38.719997,0
800244297,800243717,4028193,102000.0,38.719997,0
801237842,801237262,4028193,101999.0,38.71,0
802231438,802230857,4028193,102006.0,38.719997,0
803246722,803246142,4028193,102006.0,38.719997,0
804240283,804239675,4028193,102003.0,38.719997,0
805244659,805244079,4028193,102006.0,38.719997,0
806238291,806237711,4028193,102004.0,38.71,0
807242684,807242104,4028193,102007.0,38.719997,0
808236278,808235672,4028193,102006.0,38.719997,0
809229856,809229276,4028193,102006.0,38.719997,0
810245045,810244465,4028193,102006.0,38.719997,0
811238661,811238081,4028193,102008.0,38.719997,0
812243048,812242467,4028193,102004.0,38.719997,0
813236648,813236068,4028193,102007.0,38.719997,0
814241053,814240473,4028193,102004.0,38.719997,0
815234672,815234090,4028193,102005.0,38.719997,0
816228253,816227673,4028193,102004.0,38.719997,0
817243452,817242872,4028193,102006.0,38.719997,0
818237074,818236494,4028193,102003.0,38.719997,0
819241558,819240951,4028193,102003.0,38.719997,0
