timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
783275765,783275693,4259850,-1.7621325,0.9346964,-8.902599,35.5,0,0,0,0,5
784277158,784277089,4259850,-1.8157626,0.71251446,-9.255026,35.5,0,0,0,0,5
785279014,785278945,4259850,-1.6931795,0.61291564,-9.829635,35.5,0,0,0,0,5
786275907,786275836,4259850,-1.6472108,0.6742072,-9.132443,35.5,0,0,0,0,5
787275810,787275740,4259850,-1.7085024,0.8580819,-9.33164,35.5,0,0,0,0,5
788277708,788277636,4259850,-1.6931795,0.6742072,-9.913911,35.5,0,0,0,0,5
789279639,789279569,4259850,-1.8540698,0.7891289,-9.852619,35.5,0,0,0,0,5
790276115,790276046,4259850,-1.8770542,0.7584831,-9.890926,35.5,0,0,0,0,5
791278046,791277963,4259850,-1.9000385,0.80445176,-9.867942,35.5,0,0,0,0,5
792277433,792277364,4259850,-1.8540698,0.7431602,-9.707051,35.5,0,0,0,0,5
793279456,793279307,4259850,-1.7774553,0.6742072,-9.75302,35.5,0,0,0,0,5
794276303,794276235,4259850,-2.0149603,0.704853,-10.051817,35.5,0,0,0,0,5
795278238,795278169,4259850,-1.9153614,0.69719154,-9.530838,35.5,0,0,0,0,5
796277726,796277654,4259850,-1.8770542,0.8504205,-9.714713,35.5,0,0,0,0,5
797276666,797276596,4259850,-1.8464084,0.773806,-9.615114,35.5,0,0,0,0,5
798276056,798275988,4259850,-1.7544711,0.8963891,-9.576807,35.5,0,0,0,0,5
799278495,799278426,4259850,-1.7314867,1.0189723,-9.293333,35.5,0,0,0,0,5
800275452,800275383,4259850,-1.7161638,0.71251446,-9.69939,35.5,0,0,0,0,5
801277372,801277304,4259850,-1.8464084,0.9346964,-9.400594,35.5,0,0,0,0,5
802276843,802276775,4259850,-1.7697939,0.79679036,-9.80665,35.5,0,0,0,0,5
803278817,803278747,4259850,-1.7774553,0.88106626,-9.661083,35.5,0,0,0,0,5
804275441,804275202,4259850,-1.9843144,0.78146744,-9.936894,35.5,0,0,0,0,5
805277195,805277127,4259850,-1.8693928,0.75082165,-9.768343,35.5,0,0,0,0,5
806279129,806279057,4259850,-1.7927783,0.7891289,-9.163089,35.5,0,0,0,0,5
807276063,807275994,4259850,-1.7468096,0.79679036,-9.998186,35.5,0,0,0,0,5
808275471,808275398,4259850,-1.7391481,0.8580819,-9.867942,35.5,0,0,0,0,5
809277349,809277279,4259850,-1.7314867,0.7354988,-9.745358,35.5,0,0,0,0,5
810278765,810278695,4259850,-1.8157626,0.6588843,-9.982863,35.5,0,0,0,0,5
811275747,811275679,4259850,-1.5935807,0.6588843,-9.163089,35.5,0,0,0,0,5
812277689,812277620,4259850,-1.9153614,0.6205771,-10.097785,35.5,0,0,0,0,5
813277185,813277117,4259850,-1.8004397,0.6588843,-9.707051,35.5,0,0,0,0,5
814274205,814274136,4259850,-1.7468096,0.8121132,-9.2703495,35.5,0,0,0,0,5
815276141,815276073,4259850,-1.7851168,0.6205771,-9.523177,35.5,0,0,0,0,5
816278053,816277983,4259850,-1.7927783,0.78146744,-9.668744,35.5,0,0,0,0,5
817279510,817279358,4259850,-1.7697939,0.8504205,-9.768343,35.5,0,0,0,0,5
818276385,818276314,4259850,-1.8617313,0.6895301,-9.661083,35.5,0,0,0,0,5
819276410,819276335,4259850,-1.7851168,0.9270349,-9.323979,35.5,0,0,0,0,5
