timestamp,safety_switch_available,safety_off
781921607,1,1
782931608,1,1
783940608,1,1
784949607,1,1
785957607,1,1
786966630,1,1
787975607,1,1
788984607,1,1
789993613,1,1
791003368,1,1
792010607,1,1
793018607,1,1
794027608,1,1
795035607,1,1
796044607,1,1
797053607,1,1
798058607,1,1
799067607,1,1
800074607,1,1
801082607,1,1
802089608,1,1
803097610,1,1
804106607,1,1
805114800,1,1
806122608,1,1
807131623,1,1
808140607,1,1
809149607,1,1
810158610,1,1
811167607,1,1
812175607,1,1
813184650,1,1
814193607,1,1
815202608,1,1
816210607,1,1
817217607,1,1
818225630,1,1
819235637,1,1
