timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch
475665216,475632495,1,6,0,0,0,0,0,0,0,0,0
476679947,476647148,1,6,0,0,0,0,0,0,0,0,0
477704733,477676898,1,6,0,0,0,0,0,0,0,0,0
478714392,478686716,1,6,0,0,0,0,0,0,0,0,0
479729371,479696471,1,6,0,0,0,0,0,0,0,0,0
480754110,480726177,1,6,0,0,0,0,0,0,0,0,0
481783994,481751028,1,6,0,0,0,0,0,0,0,0,0
482798391,482765718,1,6,0,0,0,0,0,0,0,0,0
483818248,483790454,1,6,0,0,0,0,0,0,0,0,0
484833173,484800226,1,6,0,0,0,0,0,0,0,0,0
485842758,485815001,1,6,0,0,0,0,0,0,0,0,0
486867625,486834736,1,6,0,0,0,0,0,0,0,0,0
487882473,487849619,1,6,0,0,0,0,0,0,0,0,0
488897128,488864274,1,6,0,0,0,0,0,0,0,0,0
489916882,489884045,1,6,0,0,0,0,0,0,0,0,0
490946785,490913921,1,6,0,0,0,0,0,0,0,0,0
491956442,491928547,1,6,0,0,0,0,0,0,0,0,0
492971134,492943314,1,6,0,0,0,0,0,0,0,0,0
493980856,493948090,1,6,0,0,0,0,0,0,0,0,0
495005674,494977907,1,6,0,0,0,0,0,0,0,0,0
496025342,495992643,1,6,0,0,0,0,0,0,0,0,0
497035206,497002443,1,6,0,0,0,0,0,0,0,0,0
498044994,498012133,1,6,0,0,0,0,0,0,0,0,0
499070074,499041901,1,6,0,0,0,0,0,0,0,0,0
500081929,500051643,1,6,0,0,0,0,0,0,0,0,0
501089311,501056433,1,6,0,0,0,0,0,0,0,0,0
502114017,502081188,1,6,0,0,0,0,0,0,0,0,0
503128814,503101010,1,6,0,0,0,0,0,0,0,0,0
504138566,504105718,1,6,0,0,0,0,0,0,0,0,0
505153272,505120461,1,6,0,0,0,0,0,0,0,0,0
506178196,506150223,1,6,0,0,0,0,0,0,0,0,0
507202724,507169998,1,6,0,0,0,0,0,0,0,0,0
508212704,508179788,1,6,0,0,0,0,0,0,0,0,0
509242541,509209633,1,6,0,0,0,0,0,0,0,0,0
510262229,510229312,1,6,0,0,0,0,0,0,0,0,0
511276862,511244084,1,6,0,0,0,0,0,0,0,0,0
512291816,512263862,1,6,0,0,0,0,0,0,0,0,0
513306544,513278555,1,6,0,0,0,0,0,0,0,0,0
514326186,514293314,1,6,0,0,0,0,0,0,0,0,0
515350947,515318124,1,6,0,0,0,0,0,0,0,0,0
516365600,516332858,1,6,0,0,0,0,0,0,0,0,0
517385480,517352651,1,6,0,0,0,0,0,0,0,0,0
