timestamp,timestamp_sample,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
477031227,477005893,7.0973,7.1409492,20.444553,1.0
477981114,477948791,6.2477612,6.2862267,20.444553,1.0
479035711,479010294,7.276556,7.3212843,20.444553,1.0
480000491,479973098,6.724463,6.7657866,20.444553,1.0
480985253,480981877,7.4515033,7.497313,20.444553,1.0
481990023,481957952,7.0243144,7.0665107,20.36639,1.0
483004799,482976778,7.276556,7.321013,20.420128,1.0
484034548,484002461,6.4105997,6.4497857,20.425013,1.0
484999312,484971655,6.724463,6.7647123,20.34685,1.0
486014074,485980874,6.8760233,6.917129,20.34685,1.0
486988937,486963448,7.4515033,7.496051,20.34685,1.0
488003620,487972282,7.3118796,7.3556013,20.34685,1.0
488913396,488882060,7.169541,7.2124095,20.34685,1.0
490023140,489933017,7.217298,7.2604146,20.34685,1.0
490972916,490946106,7.0973,7.139688,20.34685,1.0
492012684,491981235,7.0243144,7.0662084,20.34685,1.0
493002431,492976707,7.622436,7.6680374,20.34685,1.0
494032196,494005287,7.622436,7.6680517,20.34685,1.0
494901994,494869249,7.4515033,7.4961157,20.34685,1.0
496021716,495996642,6.724463,6.764641,20.34685,1.0
496986531,496959641,7.276558,7.3200364,20.34685,1.0
498001264,497968672,7.0243144,7.0662904,20.34685,1.0
499031032,499004006,7.276556,7.3200493,20.34685,1.0
499940813,499913944,6.530067,6.569099,20.34685,1.0
500875591,500850284,7.4515033,7.4960732,20.34685,1.0
501970336,501938155,7.4515033,7.4960527,20.34685,1.0
503000098,502960299,6.724463,6.7646313,20.34685,1.0
504039852,504008704,7.0243144,7.066308,20.34685,1.0
505029625,504997875,7.311881,7.355526,20.34685,1.0
505954413,505921082,7.169541,7.2124004,20.34685,1.0
506969170,506936899,7.0243144,7.0663357,20.34685,1.0
508008926,508004878,7.4515033,7.4960837,20.34685,1.0
508973707,508941091,6.0805616,6.11689,20.34685,1.0
509988479,509956529,6.8760233,6.917135,20.34685,1.0
511018224,510954441,7.217298,7.2599845,20.314281,1.0
512007991,511980720,6.9133954,6.954146,20.297997,1.0
513007761,512982720,6.724463,6.763574,20.249146,1.0
513957713,513925974,6.0805616,6.1158943,20.249146,1.0
515012291,514961207,6.724463,6.763504,20.249146,1.0
515977067,515950082,6.1227865,6.158272,20.249146,1.0
516991857,516965673,7.097298,7.1384745,20.249146,1.0
