timestamp,safety_switch_available,safety_off
475445608,1,1
476451635,1,1
477458659,1,1
478467629,1,1
479475847,1,1
480483630,1,1
481492608,1,1
482500607,1,1
483509878,1,1
484518622,1,1
485527607,1,1
486536648,1,1
487544611,1,1
488553834,1,1
489561607,1,1
490568611,1,1
491577607,1,1
492584633,1,1
493593607,1,1
494600609,1,1
495607607,1,1
496617024,1,1
497625607,1,1
498633607,1,1
499642607,1,1
500651607,1,1
501659607,1,1
502668607,1,1
503677608,1,1
504685608,1,1
505694682,1,1
506702607,1,1
507710607,1,1
508718607,1,1
509727607,1,1
510736607,1,1
511745607,1,1
512754607,1,1
513762793,1,1
514771607,1,1
515778607,1,1
516786607,1,1
517792489,1,1
