timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
21089666,21089043,41,0,2287,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
21586729,21586168,41,0,2342,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
22073988,22073428,41,0,2396,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
22578653,22578091,41,0,2452,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
23083296,23082728,41,0,2508,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
23575450,23574890,41,0,2563,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
24072639,24072079,41,0,2618,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
24584850,24584277,41,0,2674,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
25084527,25083966,41,0,2730,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
25569285,25568724,41,0,2783,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
26076551,26075990,41,0,2839,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
26571103,26570543,41,0,2894,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
27085756,27085195,41,0,2951,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
27587943,27587380,41,0,3007,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
28087648,28087087,41,0,3062,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
28584822,28584262,41,0,3117,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
29067046,29066486,41,0,3170,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
29586695,29586133,41,0,3228,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
30088897,30088325,41,0,3283,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
30588627,30588066,41,0,3339,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
31088267,31087706,41,0,3394,0,989,988,1526,1579,1715,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
31587972,31587410,41,0,3449,0,989,988,1526,1579,1489,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
32067797,32067157,41,0,3502,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
32589860,32589300,41,0,3560,0,989,987,1693,1788,1488,1600,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
33074655,33074094,41,0,3614,0,989,988,1672,1762,1488,1588,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
33576764,33576204,41,0,3669,0,988,987,1394,1474,1503,1430,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
34078960,34078399,41,0,3725,0,989,988,1523,1577,1490,1495,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
34578694,34578132,41,0,3780,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
35088294,35087732,41,0,3837,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
35583014,35582453,41,0,3891,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
36090220,36089658,41,0,3948,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
36575018,36574393,41,0,4001,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
37074630,37074070,41,0,4057,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
37579319,37578758,41,0,4112,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
38074031,38073470,41,0,4167,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
38571163,38570593,41,0,4222,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
39070919,39070358,41,0,4277,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
39580088,39579527,41,0,4334,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
40082878,40082317,41,0,4388,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
40570054,40569481,41,0,4442,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
41077208,41076593,41,0,4498,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
41579337,41578777,41,0,4554,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
42086553,42085993,41,0,4610,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
42586196,42585631,41,0,4665,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
43073402,43072841,41,0,4717,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
43563113,43562549,41,0,4769,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
44065279,44064718,41,0,4823,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
44590111,44589551,41,0,4870,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
44667414,44666851,41,0,4877,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
47098428,47097868,40,0,4878,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
54506445,54505884,40,0,4881,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
54533930,54533370,40,0,4884,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
55001311,55000750,41,0,4935,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
55503420,55502860,41,0,4991,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
56008121,56007559,41,0,5047,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
56495253,56494690,41,0,5101,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
57009931,57009370,41,0,5158,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
57504637,57504076,41,0,5212,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
58004344,58003784,41,0,5268,0,988,987,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
58486581,58486000,41,0,5321,0,988,987,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
58988734,58988175,41,0,5377,0,988,987,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
59505939,59505378,41,0,5434,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
60010772,60010211,41,0,5490,0,988,987,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
60492897,60492329,41,0,5543,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
60995041,60994477,41,0,5599,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
61484738,61484178,41,0,5653,0,988,987,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
62006368,62005805,41,0,5711,0,989,987,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
62504134,62503573,41,0,5766,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
62986452,62985815,41,0,5819,0,988,987,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
63493711,63493146,41,0,5875,0,988,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
64010743,64010183,41,0,5932,0,988,987,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
64490475,64489915,41,0,5986,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
64992666,64992101,41,0,6041,0,988,987,1526,1579,1488,1499,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
65489883,65489323,41,0,6096,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
65989551,65988990,41,0,6152,0,988,987,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
66491812,66491246,41,0,6207,0,988,987,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
67006713,67006131,41,0,6264,0,988,987,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
67496173,67495611,41,0,6318,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
68008354,68007786,41,0,6375,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
68508080,68507519,41,0,6430,0,989,987,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
69005447,69004826,41,0,6485,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
69489960,69489396,41,0,6539,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
70009757,70009195,41,0,6596,0,988,987,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
70506889,70506328,41,0,6651,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
71011591,71011029,41,0,6707,0,988,987,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
71493775,71493215,41,0,6761,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
72006009,72005444,41,0,6817,0,989,987,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
72500698,72500138,41,0,6872,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
72995395,72994835,41,0,6926,0,988,987,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
73507629,73507069,41,0,6983,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
74007312,74006752,41,0,7038,0,989,988,1526,1579,1488,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
74504502,74503942,41,0,7093,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
75011695,75011136,41,0,7149,0,989,988,1525,1578,1487,1496,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
75491446,75490872,41,0,7202,0,989,988,1526,1579,1488,1497,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
76001164,76000582,41,0,7259,0,1060,1057,1457,1523,1487,1492,2006,2006,1494,1494,1494,1494,1494,1494,1494,1494,998,998,18,0,0,4
