timestamp,main_state_changes,main_state
222194643,0,0
222706016,0,0
223215658,0,0
223725643,0,0
224234652,0,0
224744642,0,0
225254649,0,0
225763672,0,0
226272643,0,0
226781913,0,0
227290642,0,0
227800642,0,0
228310643,0,0
228819656,0,0
229328647,0,0
229837701,0,0
230346644,0,0
230856642,0,0
231366644,0,0
231875673,0,0
232384642,0,0
232894642,0,0
233404662,0,0
233914663,0,0
234424978,0,0
234934808,0,0
235444775,0,0
235954656,0,0
236463642,0,0
236973642,0,0
237482642,0,0
237992642,0,0
238502645,0,0
239012663,0,0
239522642,0,0
240032642,0,0
240542643,0,0
241052643,0,0
241562643,0,0
242071643,0,0
242581643,0,0
243091654,0,0
243601645,0,0
244111642,0,0
244621642,0,0
245131643,0,0
245641642,0,0
246151648,0,0
246661927,0,0
247171831,0,0
247680664,0,0
248190643,0,0
248700643,0,0
249209643,0,0
249719646,0,0
250229643,0,0
250739643,0,0
251249643,0,0
251759643,0,0
252269645,0,0
252779642,0,0
253289644,0,0
253800251,0,0
254309686,0,0
254820055,0,0
255328662,0,0
255838661,0,0
256348646,0,0
256858642,0,0
257368685,0,0
257878643,0,0
258389036,0,0
258897643,0,0
259406644,0,0
259915643,0,0
260425689,0,0
260935644,0,0
261445643,0,0
