timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
222592783,222492428,0.0,0.0,0.0,8.5884094e-05,0.00018936118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1362648,0.0,0.0,nan,0.0,0.0,0.0006825924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223092606,222992304,0.0,0.0,0.0,0.00022564844,0.00095346785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037540436,0.0,0.0,nan,0.0,0.0,-0.007780552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223592499,223492181,0.0,0.0,0.0,-0.00023432908,0.0010798696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026607513,0.0,0.0,nan,0.0,0.0,0.0017843246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224092402,223992057,0.0,0.0,0.0,-0.00033545628,0.00045919584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06223297,0.0,0.0,nan,0.0,0.0,0.008107901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224592281,224491933,0.0,0.0,0.0,-0.00053614954,5.001847e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.047100067,0.0,0.0,nan,0.0,0.0,-0.0077688694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225092190,224991810,0.0,0.0,0.0,-0.00026028123,-9.635571e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045425415,0.0,0.0,nan,0.0,0.0,0.004157543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225592028,225491686,0.0,0.0,0.0,0.0004370495,-4.884703e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.042877197,0.0,0.0,nan,0.0,0.0,0.013951302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226091919,225991563,0.0,0.0,0.0,0.00049327133,8.9745496e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09238815,0.0,0.0,nan,0.0,0.0,-0.008895874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226591737,226491439,0.0,0.0,0.0,0.00039958194,-0.00033974642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.070178986,0.0,0.0,nan,0.0,0.0,0.0026113987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227091714,226991315,0.0,0.0,0.0,0.00052431226,-0.00045290508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20201492,0.0,0.0,nan,0.0,0.0,0.022606373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227591478,227491192,0.0,0.0,0.0,0.0008178125,-0.00010969081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12518692,0.0,0.0,nan,0.0,0.0,0.0028853416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228091457,227991068,0.0,0.0,0.0,0.0007916521,0.0005285698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1294136,0.0,0.0,nan,0.0,0.0,-0.0046288967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228591231,228490945,0.0,0.0,0.0,0.00037016274,8.629692e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09849167,0.0,0.0,nan,0.0,0.0,0.018129826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229091114,228990821,0.0,0.0,0.0,-1.1795435e-05,-0.00027053335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11717224,0.0,0.0,nan,0.0,0.0,0.0038673878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229591127,229490698,0.0,0.0,0.0,-0.00040890713,-0.00073421904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08516312,0.0,0.0,nan,0.0,0.0,-0.0057981014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230090927,229990575,0.0,0.0,0.0,-0.0003928121,-0.0010298443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24034882,0.0,0.0,nan,0.0,0.0,0.012002945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230590744,230490451,0.0,0.0,0.0,-0.0003813445,-0.0010045393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15137482,0.0,0.0,nan,0.0,0.0,0.0050742626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231090692,230990328,0.0,0.0,0.0,8.7439825e-05,-0.00065020716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25165176,0.0,0.0,nan,0.0,0.0,-0.01066184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231590530,231490204,0.0,0.0,0.0,0.00031744997,-0.00040329626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35847855,0.0,0.0,nan,0.0,0.0,0.0042083263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232090372,231990081,0.0,0.0,0.0,0.00023254944,-0.00023031962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28286362,0.0,0.0,nan,0.0,0.0,0.012257099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232590299,232489957,0.0,0.0,0.0,-0.00015171569,-0.00051012635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2061348,0.0,0.0,nan,0.0,0.0,-0.0028591156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233090205,232989834,0.0,0.0,0.0,3.8605056e-05,-0.00046226784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10084152,0.0,0.0,nan,0.0,0.0,-0.00011563301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233590048,233489710,0.0,0.0,0.0,0.00015127433,-0.0002394864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12005997,0.0,0.0,nan,0.0,0.0,0.022013903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234089874,233989587,0.0,0.0,0.0,-9.9084034e-05,-0.00013448515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29478073,0.0,0.0,nan,0.0,0.0,-0.0010876656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234589874,234489464,0.0,0.0,0.0,-0.0005104447,-0.00010830137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18344879,0.0,0.0,nan,0.0,0.0,0.0014131069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235089748,234989340,0.0,0.0,0.0,-9.04298e-05,-0.0002604462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3105812,0.0,0.0,nan,0.0,0.0,0.019773722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235589508,235489217,0.0,0.0,0.0,-5.2118678e-05,-2.7698912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14424896,0.0,0.0,nan,0.0,0.0,-0.005609989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236089464,235989094,0.0,0.0,0.0,-0.00024335201,-0.00038706232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.088653564,0.0,0.0,nan,0.0,0.0,-0.003515005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236589307,236488971,0.0,0.0,0.0,-0.00028355743,-0.0008728872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23461914,0.0,0.0,nan,0.0,0.0,0.014275789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237089165,236988847,0.0,0.0,0.0,-0.00022144191,-0.00072008633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29690933,0.0,0.0,nan,0.0,0.0,-0.002364397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237589031,237488724,0.0,0.0,0.0,-3.094215e-06,-0.00016600938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1992302,0.0,0.0,nan,0.0,0.0,-0.009408474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238088884,237988601,0.0,0.0,0.0,-3.665785e-05,0.00019692747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2865715,0.0,0.0,nan,0.0,0.0,0.008559942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238588859,238488478,0.0,0.0,0.0,3.285673e-06,3.1356612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03645706,0.0,0.0,nan,0.0,0.0,0.0018360615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239088718,238988354,0.0,0.0,0.0,-3.31011e-05,-0.00015148145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.270092,0.0,0.0,nan,0.0,0.0,-0.015239954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239588554,239488231,0.0,0.0,0.0,-0.00013754267,-0.00048136225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26943588,0.0,0.0,nan,0.0,0.0,0.0038182735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240088457,239988108,0.0,0.0,0.0,-0.00049296167,-0.0009635003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35886383,0.0,0.0,nan,0.0,0.0,0.006470442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240588278,240487985,0.0,0.0,0.0,-0.00047266617,-0.0007537938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37981796,0.0,0.0,nan,0.0,0.0,-0.0041286945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241088175,240987862,0.0,0.0,0.0,-0.0004198746,-0.00024665412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22824097,0.0,0.0,nan,0.0,0.0,0.001660347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241588027,241487738,0.0,0.0,0.0,-0.00011461277,-0.00022858169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20471954,0.0,0.0,nan,0.0,0.0,0.014373779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242087943,241987615,0.0,0.0,0.0,8.909085e-05,-0.0003260875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20517349,0.0,0.0,nan,0.0,0.0,-0.0073001385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242587831,242487492,0.0,0.0,0.0,0.00043481824,-0.00034972542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15622711,0.0,0.0,nan,0.0,0.0,-0.000603199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243097661,242997367,0.0,0.0,0.0,0.00060759817,-0.00028221146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19841385,0.0,0.0,nan,0.0,0.0,0.0180552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243587586,243487246,0.0,0.0,0.0,0.0005911251,-5.5612378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2870102,0.0,0.0,nan,0.0,0.0,0.00064849854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244087411,243987123,0.0,0.0,0.0,0.00040591133,-0.0001754984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.066646576,0.0,0.0,nan,0.0,0.0,-0.014583826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244587326,244487000,0.0,0.0,0.0,0.00025023767,-1.6036069e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055187225,0.0,0.0,nan,0.0,0.0,0.015689611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245087233,244986876,0.0,0.0,0.0,1.6455739e-05,0.00036929335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20707321,0.0,0.0,nan,0.0,0.0,-0.00304842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
