timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
126001744,4259850,4259850,2490378,0,0,0.15614408,0.15614405,0.0,0.0,4325386,4325386,2490378,0,0,0.006485097,0.006485097,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
126006737,4259850,4259850,2490378,0,0,0.1557238,0.15572377,0.0,0.0,4325386,4325386,2490378,0,0,0.0065236646,0.0065236646,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
126201686,4259850,4259850,2490378,0,0,0.15371363,0.15371361,0.0,0.0,4325386,4325386,2490378,0,0,0.00594284,0.00594284,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
126401635,4259850,4259850,2490378,0,0,0.1522151,0.1522151,0.0,0.0,4325386,4325386,2490378,0,0,0.0061470633,0.006147064,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
126601582,4259850,4259850,2490378,0,0,0.15379113,0.15379113,0.0,0.0,4325386,4325386,2490378,0,0,0.0056353123,0.0056353123,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
126801549,4259850,4259850,2490378,0,0,0.15565035,0.15565038,0.0,0.0,4325386,4325386,2490378,0,0,0.005562333,0.005562333,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
127001477,4259850,4259850,2490378,0,0,0.15339634,0.15339637,0.0,0.0,4325386,4325386,2490378,0,0,0.0059086625,0.005908662,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
127201423,4259850,4259850,2490378,0,0,0.1540949,0.1540949,0.0,0.0,4325386,4325386,2490378,0,0,0.0058469344,0.0058469344,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
127401376,4259850,4259850,2490378,0,0,0.15529475,0.15529479,0.0,0.0,4325386,4325386,2490378,0,0,0.0059566554,0.005956656,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
127601322,4259850,4259850,2490378,0,0,0.15278743,0.15278746,0.0,0.0,4325386,4325386,2490378,0,0,0.0064478293,0.0064478293,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
127801297,4259850,4259850,2490378,0,0,0.15303817,0.15303819,0.0,0.0,4325386,4325386,2490378,0,0,0.0060386364,0.0060386364,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
128001225,4259850,4259850,2490378,0,0,0.15425704,0.15425704,0.0,0.0,4325386,4325386,2490378,0,0,0.006075687,0.006075687,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
128201192,4259850,4259850,2490378,0,0,0.15427725,0.15427728,0.0,0.0,4325386,4325386,2490378,0,0,0.0060401247,0.006040124,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
128401186,4259850,4259850,2490378,0,0,0.15281855,0.15281855,0.0,0.0,4325386,4325386,2490378,0,0,0.0063390913,0.0063390913,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
128601067,4259850,4259850,2490378,0,0,0.15354195,0.15354195,0.0,0.0,4325386,4325386,2490378,0,0,0.0063283844,0.0063283844,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
128801022,4259850,4259850,2490378,0,0,0.15385176,0.15385176,0.0,0.0,4325386,4325386,2490378,0,0,0.0062070047,0.0062070047,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
