timestamp,imbalanced_prop_metric,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_high_wind,fd_battery,fd_imbalanced_prop
125879371,nan,0,0,0,0,0,0,0,0
126389037,nan,0,0,0,0,0,0,0,0
126898840,nan,0,0,0,0,0,0,0,0
127408529,nan,0,0,0,0,0,0,0,0
127917375,nan,0,0,0,0,0,0,0,0
128426763,nan,0,0,0,0,0,0,0,0
128937034,nan,0,0,0,0,0,0,0,0
129446736,nan,0,0,0,0,0,0,0,0
129956753,nan,0,0,0,0,0,0,0,0
130466710,nan,0,0,0,0,0,0,0,0
130977116,nan,0,0,0,0,0,0,0,0
131487112,nan,0,0,0,0,0,0,0,0
131996749,nan,0,0,0,0,0,0,0,0
132506649,nan,0,0,0,0,0,0,0,0
133016664,nan,0,0,0,0,0,0,0,0
133526860,nan,0,0,0,0,0,0,0,0
134036696,nan,0,0,0,0,0,0,0,0
134546672,nan,0,0,0,0,0,0,0,0
135056479,nan,0,0,0,0,0,0,0,0
135565808,nan,0,0,0,0,0,0,0,0
136076124,nan,0,0,0,0,0,0,0,0
136585683,nan,0,0,0,0,0,0,0,0
137095825,nan,0,0,0,0,0,0,0,0
137606134,nan,0,0,0,0,0,0,0,0
138115981,nan,0,0,0,0,0,0,0,0
138625665,nan,0,0,0,0,0,0,0,0
139135671,nan,0,0,0,0,0,0,0,0
139645280,nan,0,0,0,0,0,0,0,0
140154633,nan,0,0,0,0,0,0,0,0
140665016,nan,0,0,0,0,0,0,0,0
141174841,nan,0,0,0,0,0,0,0,0
141684437,nan,0,0,0,0,0,0,0,0
142193662,nan,0,0,0,0,0,0,0,0
142703843,nan,0,0,0,0,0,0,0,0
143213607,nan,0,0,0,0,0,0,0,0
143723751,nan,0,0,0,0,0,0,0,0
144233361,nan,0,0,0,0,0,0,0,0
144742885,nan,0,0,0,0,0,0,0,0
145252784,nan,0,0,0,0,0,0,0,0
145762543,nan,0,0,0,0,0,0,0,0
146271405,nan,0,0,0,0,0,0,0,0
146780410,nan,0,0,0,0,0,0,0,0
147289423,nan,0,0,0,0,0,0,0,0
147799054,nan,0,0,0,0,0,0,0,0
148309001,nan,0,0,0,0,0,0,0,0
148818827,nan,0,0,0,0,0,0,0,0
149329180,nan,0,0,0,0,0,0,0,0
149838650,nan,0,0,0,0,0,0,0,0
150349028,nan,0,0,0,0,0,0,0,0
150859192,nan,0,0,0,0,0,0,0,0
151368750,nan,0,0,0,0,0,0,0,0
151878832,nan,0,0,0,0,0,0,0,0
152388982,nan,0,0,0,0,0,0,0,0
152898654,nan,0,0,0,0,0,0,0,0
153408709,nan,0,0,0,0,0,0,0,0
153918542,nan,0,0,0,0,0,0,0,0
