timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
561771455,561771321,-0.6384029,-0.35592198,-9.773596
561776459,561776303,-0.63526905,-0.35280553,-9.768644
561826225,561826121,-0.6229202,-0.41084117,-9.817941
561876030,561875934,-0.6313978,-0.39012164,-9.690989
561925835,561925747,-0.63671714,-0.3008975,-9.729945
561975661,561975564,-0.6131679,-0.34243605,-9.790422
562025463,562025377,-0.62037444,-0.37349224,-9.759963
562075277,562075192,-0.62320244,-0.3531334,-9.738888
562125092,562125007,-0.61233276,-0.35453308,-9.7927065
562174913,562174824,-0.6525786,-0.41113874,-9.738202
562224726,562224639,-0.62688535,-0.347979,-9.762897
562274539,562274452,-0.6054166,-0.34459943,-9.767805
562324353,562324268,-0.6134024,-0.35441968,-9.779728
562374667,562374580,-0.6242236,-0.393894,-9.852266
562424479,562424395,-0.6362414,-0.33880287,-9.786652
562474288,562474203,-0.6488775,-0.40430105,-9.75496
562524099,562524014,-0.63588446,-0.32556623,-9.831628
562573915,562573826,-0.63063824,-0.37372154,-9.780667
562623755,562623641,-0.6441958,-0.3557588,-9.794873
562678517,562678433,-0.6356813,-0.34658128,-9.808226
562723350,562723265,-0.6304001,-0.38546672,-9.807251
562773164,562773080,-0.6128534,-0.34866604,-9.781137
562822981,562822897,-0.60638803,-0.35123312,-9.788623
562877772,562877690,-0.636758,-0.36188686,-9.855984
562927606,562927508,-0.6094756,-0.38026088,-9.804782
562972440,562972343,-0.62024456,-0.3761934,-9.70957
563027222,563027140,-0.6446662,-0.30850226,-9.75862
563077035,563076954,-0.63680834,-0.41084737,-9.755484
563126846,563126764,-0.6156254,-0.37996864,-9.734132
563171700,563171591,-0.5973385,-0.39693406,-9.736128
563226467,563226384,-0.6090776,-0.3752788,-9.808464
563276293,563276196,-0.6017952,-0.37198657,-9.743132
563326089,563326006,-0.5842905,-0.37710795,-9.783063
563375898,563375814,-0.62526953,-0.35880843,-9.8097925
563425712,563425628,-0.6130021,-0.3762413,-9.742065
563475521,563475439,-0.63635796,-0.32948402,-9.766065
563525832,563525751,-0.61782146,-0.39380312,-9.785063
563575643,563575558,-0.6271225,-0.3375045,-9.854356
563625451,563625368,-0.62558776,-0.35472932,-9.744526
563675259,563675177,-0.5797356,-0.32095844,-9.733043
563725081,563724984,-0.63240755,-0.3384897,-9.836547
563774873,563774791,-0.58329695,-0.3753661,-9.770365
563824684,563824597,-0.6017776,-0.34754735,-9.795402
563874485,563874403,-0.63113904,-0.36162013,-9.810578
563924292,563924210,-0.61896455,-0.3553548,-9.821819
563974100,563974018,-0.6256557,-0.33819506,-9.7467575
564023909,564023827,-0.60645646,-0.3765505,-9.814239
564078702,564078619,-0.653043,-0.34277046,-9.8248005
564123531,564123449,-0.60339975,-0.39214817,-9.755058
564173384,564173262,-0.6512436,-0.3446309,-9.861182
564223154,564223071,-0.6729898,-0.37028587,-9.808141
564277945,564277862,-0.6357504,-0.3644015,-9.798372
564322780,564322691,-0.60418624,-0.3740977,-9.791632
564372580,564372499,-0.58982927,-0.36091974,-9.76838
564427368,564427286,-0.6249961,-0.3701395,-9.81059
