timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
581731793,581731631,0.29710957,-0.024948861,-0.027046984,-0.9541341,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
582231683,582231515,0.29705977,-0.024883308,-0.027077252,-0.95415056,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
582726627,582726402,0.29710376,-0.024699444,-0.02726109,-0.9541364,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
583226432,583226283,0.29707295,-0.024733517,-0.027230702,-0.9541459,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
583731317,583731166,0.2971453,-0.024764245,-0.027203664,-0.95412344,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
584231306,584231050,0.29718181,-0.024816781,-0.027255202,-0.95410913,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
584731086,584730933,0.29717788,-0.024866946,-0.02729653,-0.9541079,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
585230965,585230816,0.29712853,-0.024959018,-0.02731362,-0.9541204,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
585730852,585730700,0.29719794,-0.02490386,-0.027352056,-0.9540992,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
586225740,586225584,0.2972601,-0.024931893,-0.027357146,-0.95407885,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
586730619,586730467,0.29711106,-0.025008118,-0.027621811,-0.9541156,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
587230505,587230350,0.29710844,-0.025007304,-0.02767099,-0.95411515,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
587730397,587730234,0.29715732,-0.024902916,-0.027433405,-0.95410943,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
588227769,588225118,0.29708344,-0.024897039,-0.027402364,-0.95413357,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
588730208,588730001,0.29711843,-0.024899652,-0.027293468,-0.95412564,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
589230035,589229884,0.2971864,-0.024968628,-0.027289724,-0.9541028,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
589729922,589729767,0.2972024,-0.025008997,-0.027397607,-0.95409364,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
