timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
560870889,560770753,2490378,-0.008070259,0.00021117691,-0.0010198117,0.34906584,1.7795952e-07,1.7755488e-07,4.3056477e-07,2490378,-0.19629936,0.3884091,-0.1212183,0.4,0.012309858,0.0038335607,0.0005046908,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
561876137,561776048,2490378,-0.008071515,0.00021178498,-0.0010323203,0.34906584,1.7756565e-07,1.7715878e-07,4.3078637e-07,2490378,-0.19629876,0.38840914,-0.12108907,0.4,0.012309945,0.00383365,0.00050469337,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
562881668,562781343,2490378,-0.008072037,0.00021287553,-0.0010260928,0.34906584,1.7717075e-07,1.7676152e-07,4.3100832e-07,2490378,-0.19629924,0.38840914,-0.12104289,0.4,0.012310028,0.003833738,0.00050469127,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
563886702,563786638,2490378,-0.008071959,0.00021475427,-0.0010275161,0.34906584,1.767765e-07,1.7636323e-07,4.3122978e-07,2490378,-0.19629867,0.3884093,-0.121032156,0.4,0.012310113,0.0038338264,0.00050469465,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
564891885,564791933,2490378,-0.008071629,0.00021278363,-0.0010342633,0.34906584,1.7637879e-07,1.7596507e-07,4.3070233e-07,2490378,-0.19629782,0.3884092,-0.12098865,0.4,0.012310196,0.0038339146,0.0005046917,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
565897239,565797227,2490378,-0.00807081,0.00021150235,-0.0010274703,0.34906584,1.7806029e-07,1.7764886e-07,4.3092876e-07,2490378,-0.19629802,0.38840935,-0.120948255,0.4,0.012310305,0.0038340103,0.0005046907,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
566902478,566802522,2490378,-0.008069953,0.00021162698,-0.0010334186,0.34906584,1.7766621e-07,1.7725327e-07,4.31141e-07,2490378,-0.19629745,0.38840938,-0.12089696,0.4,0.01231039,0.0038340993,0.0005046941,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
567907857,567807817,2490378,-0.008069194,0.00021107288,-0.001032396,0.34906584,1.7727054e-07,1.7685758e-07,4.313541e-07,2490378,-0.19629744,0.38840914,-0.120800525,0.4,0.012310473,0.0038341868,0.0005046911,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
568913119,568813112,2490378,-0.008068358,0.00021284023,-0.0010278254,0.34906584,1.7687573e-07,1.7646255e-07,4.3081417e-07,2490378,-0.19629739,0.38840902,-0.120731026,0.4,0.012310554,0.003834274,0.0005046943,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
569918363,569818406,2490378,-0.0080685755,0.00021538086,-0.0010355309,0.34906584,1.764826e-07,1.7606786e-07,4.3102713e-07,2490378,-0.19629718,0.38840932,-0.120681554,0.4,0.012310658,0.0038343682,0.0005046931,396321,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
