timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
1047790424,0,0,162,156,100,23,60
1048709898,0,0,163,156,100,22,53
1049774635,0,0,155,154,93,22,56
1050697077,0,0,161,153,97,25,41
1051728647,0,0,160,151,97,23,42
1052765269,0,0,163,157,98,28,45
1053795249,0,0,161,154,100,21,44
1054730630,0,0,153,152,93,27,50
1055762175,0,0,160,149,98,23,42
1056795982,0,0,163,157,100,23,49
1057722994,0,0,158,144,100,21,50
1058770480,0,0,155,150,97,25,50
1059698006,0,0,156,147,100,23,54
1060715994,0,0,153,151,97,23,43
1061771015,0,0,150,152,96,24,45
1062691633,0,0,159,159,100,22,56
1063719043,0,0,159,151,100,26,50
1064768495,0,0,160,154,100,18,38
1065688841,0,0,162,156,100,21,40
1066709495,0,0,161,153,100,19,38
1067767633,0,0,155,153,100,23,47
1068693969,0,0,159,157,100,21,53
1069737634,0,0,162,154,97,21,46
1070769925,0,0,163,157,100,24,62
1071800253,0,0,164,158,100,24,47
1072727583,0,0,163,156,94,21,52
1073764176,0,0,163,152,98,27,42
1074693544,0,0,161,154,97,25,47
1075721176,0,0,164,157,97,32,56
1076775172,0,0,163,155,100,21,35
1077699154,0,0,159,157,100,24,50
1078718033,0,0,159,154,100,23,59
1079775942,0,0,165,160,100,25,57
1080706214,0,0,160,154,98,20,47
1081726567,0,0,162,156,100,23,48
1082769633,0,0,162,157,97,22,34
1083692640,0,0,162,157,97,22,53
1084732488,0,0,160,151,96,24,51
1085836702,0,0,161,154,100,20,48
1086804766,0,0,161,153,98,23,49
1087720469,0,0,163,157,96,23,34
