timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1048490337,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1048515296,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1048585248,0,0.5080645,-0.422449,0.0,-1.0,0.0,1.0,0.0,0.0
1048675217,0,0.5080645,-0.422449,0.0,-1.0,0.0,1.0,0.0,0.0
1048795381,0,0.5080645,-0.422449,0.0,-1.0,0.0,1.0,0.0,0.0
1048865188,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1048940143,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1049005217,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1049150189,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1049275102,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1049395073,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1049490035,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1049575077,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1049694972,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1049764999,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1049885009,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1049979890,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1050074877,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1050196699,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1050279916,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1050349808,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1050469858,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1050584760,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1050679770,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
1050794758,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
