timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
1049165071,1049164131,396321,-0.32954544,0.23636363,0.14469697,nan,0
1050180195,1050179255,396321,-0.3272727,0.23787878,0.14166667,nan,0
1051173790,1051172849,396321,-0.3333333,0.23787878,0.14318182,nan,0
1052167401,1052166462,396321,-0.325,0.23636363,0.14015152,nan,0
1053161067,1053160128,396321,-0.3310606,0.23636363,0.14015152,nan,0
1054176242,1054175297,396321,-0.33560604,0.23787878,0.14318182,nan,0
1055169791,1055168851,396321,-0.32575756,0.23560606,0.14318182,nan,0
1056163443,1056162504,396321,-0.33560604,0.23560606,0.14621212,nan,0
1057178629,1057177689,396321,-0.33257574,0.23787878,0.15151514,nan,0
1058172193,1058171253,396321,-0.3310606,0.23712121,0.14318182,nan,0
1059165825,1059164876,396321,-0.3439394,0.23560606,0.14469697,nan,0
1060181056,1060180117,396321,-0.3280303,0.23484848,0.14469697,nan,0
1061174658,1061173719,396321,-0.3310606,0.23636363,0.14015152,nan,0
1062168201,1062167262,396321,-0.33484846,0.23636363,0.14696969,nan,0
1063183431,1063182477,396321,-0.32651514,0.23787878,0.14469697,nan,0
1064177045,1064176106,396321,-0.3393939,0.2340909,0.15303029,nan,0
1065170653,1065169713,396321,-0.33257574,0.23787878,0.14166667,nan,0
1066164272,1066163300,396321,-0.32878786,0.22954544,0.14469697,nan,0
1067179463,1067178523,396321,-0.34242424,0.23712121,0.13181818,nan,0
1068173117,1068172178,396321,-0.3272727,0.23560606,0.14848484,nan,0
1069166595,1069165655,396321,-0.3333333,0.23560606,0.14166667,nan,0
1070181801,1070180861,396321,-0.3363636,0.23939393,0.14621212,nan,0
1071175438,1071174498,396321,-0.32348484,0.23787878,0.14848484,nan,0
1072169054,1072168115,396321,-0.33787876,0.23712121,0.14469697,nan,0
1073162647,1073161676,396321,-0.3310606,0.23863636,0.14999999,nan,0
1074177839,1074176899,396321,-0.32651514,0.23712121,0.14999999,nan,0
1075171417,1075170477,396321,-0.34469697,0.23636363,0.14015152,nan,0
1076165067,1076164127,396321,-0.32575756,0.23712121,0.13939394,nan,0
1077180193,1077179253,396321,-0.330303,0.23560606,0.14999999,nan,0
1078173829,1078172889,396321,-0.33560604,0.23636363,0.14015152,nan,0
1079167414,1079166474,396321,-0.32575756,0.23636363,0.14015152,nan,0
1080182593,1080181653,396321,-0.33863634,0.23560606,0.14015152,nan,0
1081176201,1081175262,396321,-0.32954544,0.23863636,0.14696969,nan,0
1082169860,1082168920,396321,-0.3310606,0.23560606,0.13787879,nan,0
1083163402,1083162462,396321,-0.3409091,0.2340909,0.14469697,nan,0
1084178667,1084177727,396321,-0.32575756,0.23863636,0.14166667,nan,0
1085172247,1085171307,396321,-0.33484846,0.23712121,0.14696969,nan,0
1086165807,1086164867,396321,-0.33787876,0.23636363,0.14318182,nan,0
1087181073,1087180133,396321,-0.32575756,0.23863636,0.14696969,nan,0
