timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
1048490956,1048490874,-0.6811816,-0.3186586,-9.728099
1048495954,1048495857,-0.6804127,-0.33308452,-9.736656
1048540802,1048540702,-0.70822304,-0.31815073,-9.8945875
1048590614,1048590528,-0.8222874,-0.19791076,-9.793085
1048645426,1048645340,-0.75791776,-0.2625178,-9.791372
1048695259,1048695171,-0.6837491,-0.42204043,-9.793147
1048745087,1048745001,-0.663705,-0.3605289,-9.853916
1048794923,1048794830,-0.6214062,-0.41333398,-9.690067
1048844908,1048844659,-0.6528307,-0.26707122,-9.798768
1048894674,1048894485,-0.66884595,-0.38094708,-9.797469
1048940420,1048940327,-0.6482859,-0.3870075,-9.682575
1048995221,1048995132,-0.6816697,-0.3933818,-9.729299
1049045065,1049044956,-0.753288,-0.24695146,-9.879733
1049094869,1049094783,-0.7600998,-0.2909159,-9.8059025
1049144697,1049144608,-0.74034244,-0.28535664,-9.802459
1049194521,1049194436,-0.8557498,-0.18914257,-9.768368
1049244346,1049244262,-0.75433296,-0.24498767,-9.894588
1049294171,1049294085,-0.7287748,-0.41518128,-9.7129965
1049343998,1049343912,-0.75476605,-0.1691973,-9.801671
1049393828,1049393740,-0.9672281,-0.21852405,-9.983637
1049443659,1049443569,-0.9549837,-0.14166583,-9.765604
1049493480,1049493398,-0.9685105,-0.13058437,-9.802582
1049543326,1049543223,-0.891247,-0.037713733,-9.73825
1049593194,1049593049,-0.8563908,-0.14088072,-9.720652
1049642960,1049642877,-0.69903827,-0.26324615,-9.812361
1049692784,1049692701,-0.57721347,-0.36323237,-9.664049
1049742612,1049742527,-0.660882,-0.15490937,-9.839463
1049792437,1049792355,-0.7115286,-0.24354482,-9.707205
1049847251,1049847169,-0.7707299,-0.27148113,-9.769313
1049892097,1049892015,-0.50834507,-0.4468946,-9.834579
1049941928,1049941842,-0.31981385,-0.4202965,-9.73382
1049991751,1049991668,-0.45392153,-0.46268123,-9.673822
1050046572,1050046481,-0.65200186,-0.20795019,-9.777531
1050091909,1050091823,-0.5926244,-0.28189847,-9.654409
1050141729,1050141647,-0.592653,-0.30727655,-9.8633795
1050196536,1050196455,-0.70136213,-0.33895555,-9.746639
1050246364,1050246283,-0.6042412,-0.24712941,-9.663435
1050291208,1050291127,-0.59667856,-0.42956936,-9.780991
1050341036,1050340953,-0.59161985,-0.24525423,-9.769889
1050395844,1050395761,-0.6574881,-0.29361036,-9.709851
1050445669,1050445586,-0.73014945,-0.3323851,-9.699764
1050490513,1050490430,-0.8776725,-0.23537211,-9.83552
1050545340,1050545244,-0.9377988,-0.20836872,-9.898444
1050595159,1050595076,-0.81098294,-0.26616618,-9.7929735
1050644989,1050644907,-0.8803478,-0.10823196,-9.637896
1050689836,1050689753,-0.6095568,-0.33040842,-9.744886
1050744646,1050744562,-0.7763935,-0.27886295,-9.558049
1050794476,1050794393,-0.6975819,-0.15780537,-9.674723
1050844315,1050844224,-0.59543276,-0.3377375,-9.63988
1050894141,1050894057,-0.6746501,-0.21698175,-9.765228
1050943967,1050943880,-0.6891393,-0.3981329,-9.83686
1050993798,1050993707,-0.79399854,-0.103646524,-9.9159355
1051043624,1051043538,-0.7206183,-0.17136689,-9.586684
1051093456,1051093371,-0.7166166,-0.18862332,-9.791263
1051143284,1051143202,-0.53262824,-0.29369617,-9.86095
1051193135,1051193034,-0.65935344,-0.2601584,-9.724717
1051242949,1051242864,-0.7423497,-0.3057158,-9.762664
1051293423,1051293198,-0.64028585,-0.23990668,-9.768679
1051343206,1051343032,-0.6388974,-0.4366892,-9.839463
1051392960,1051392863,-0.5186735,-0.3308322,-9.698633
1051442813,1051442698,-0.60942405,-0.31171116,-9.657719
1051492632,1051492531,-0.57425225,-0.18962772,-9.830569
1051542446,1051542361,-0.6893457,-0.3980751,-9.775826
1051597253,1051597171,-0.79173356,-0.21928246,-9.769177
1051642105,1051642022,-0.76682794,-0.17337403,-9.743594
1051691940,1051691853,-0.6862473,-0.35001948,-9.873013
1051741767,1051741684,-0.5685008,-0.44644055,-9.707593
1051796577,1051796495,-0.65601546,-0.44039208,-9.683922
