timestamp,timestamp_sample,device_id,differential_pressure_pa,temperature,error_count
116881221,116878230,4728849,127.832466,4.8119197,0
117883858,117880893,4728849,121.519745,4.8119197,0
118885940,118882976,4728849,115.20702,4.8119197,0
119888456,119885474,4728849,140.45792,4.8119197,0
120877548,120874579,4728849,146.77065,4.8119197,0
121893020,121890052,4728849,127.832466,4.8119197,0
122895426,122892448,4728849,146.77065,4.8119197,0
123884674,123881695,4728849,146.77065,4.8119197,0
124886738,124883773,4728849,121.519745,4.8119197,0
125890674,125887710,4728849,140.45792,4.7142158,11
126893076,126890084,4728849,146.77065,4.7142158,11
127856306,127853336,4728849,153.08336,4.7142158,11
128884037,128881072,4728849,146.77065,4.7142158,21
129873690,129870676,4728849,159.39609,4.7142158,21
130889476,130886512,4728849,178.33426,4.7142158,21
131878742,131875776,4728849,190.9597,4.7142158,21
132881259,132878294,4728849,184.64699,4.7142158,21
133884017,133881052,4728849,190.9597,4.7142158,21
134886230,134883235,4728849,203.58516,4.7142158,21
135888459,135885478,4728849,190.9597,4.7142158,21
136890839,136887875,4728849,203.58516,4.7142158,21
137893392,137890426,4728849,197.27243,4.7142158,21
138882503,138879525,4728849,209.89787,4.616512,21
139884687,139881721,4728849,216.21062,4.616512,21
140886841,140883876,4728849,222.52333,4.616512,21
141849656,141846691,4728849,228.83606,4.616512,21
142891877,142888876,4728849,235.14879,4.518808,21
143881212,143878248,4728849,228.83606,4.518808,21
144883463,144880498,4728849,216.21062,4.518808,21
145886201,145883236,4728849,209.89787,4.518808,21
146888271,146885306,4728849,209.89787,4.518808,21
147890667,147887701,4728849,209.89787,4.518808,21
148892946,148889981,4728849,222.52333,4.421104,21
149882399,149879433,4728849,235.14879,4.421104,21
150884403,150881432,4728849,241.4615,4.421104,21
151886917,151883948,4728849,247.77423,4.421104,21
152889430,152886466,4728849,279.33786,4.421104,21
153891678,153888712,4728849,254.08696,4.3234,21
154894370,154891404,4728849,241.4615,4.3234,21
155883767,155880802,4728849,254.08696,4.3234,21
156886463,156883499,4728849,260.3997,4.3234,21
157888696,157885726,4728849,247.77423,4.3234,21
158891057,158888066,4728849,241.4615,4.3234,21
159893447,159890483,4728849,254.08696,4.3234,21
160883017,160880053,4728849,247.77423,4.225696,21
161885262,161882294,4728849,241.4615,4.225696,21
162887667,162884693,4728849,235.14879,4.225696,21
163863395,163860418,4728849,228.83606,4.225696,21
164865840,164862876,4728849,273.02512,4.225696,21
165881503,165878523,4728849,304.58875,4.225696,21
166857388,166854408,4728849,323.52692,4.225696,21
167846840,167843876,4728849,317.2142,4.225696,21
168888929,168885959,4728849,348.7778,4.127992,21
169891287,169888321,4728849,329.83963,4.127992,21
170890561,170887595,4728849,298.27603,4.127992,22
171893144,171890124,4728849,266.7124,4.127992,22
172882542,172879574,4728849,254.08696,4.127992,22
173871877,173868876,4728849,266.7124,4.127992,22
174887416,174884449,4728849,241.4615,4.127992,22
175889675,175886710,4728849,222.52333,4.127992,22
176878686,176875719,4728849,203.58516,4.127992,22
177894285,177891320,4728849,178.33426,4.127992,22
178883369,178880404,4728849,165.70882,4.127992,22
179885487,179882521,4728849,172.02153,4.127992,22
180861508,180858543,4728849,184.64699,4.127992,22
181890368,181887404,4728849,190.9597,4.127992,22
182892760,182889794,4728849,178.33426,4.127992,22
183881698,183878722,4728849,190.9597,4.127992,22
184884202,184881237,4728849,197.27243,4.127992,22
185873463,185870499,4728849,203.58516,4.127992,22
186876245,186873279,4728849,203.58516,4.127992,22
187891699,187888617,4728849,197.27243,4.127992,22
188854548,188851580,4728849,197.27243,4.127992,22
189883340,189880375,4728849,184.64699,4.127992,22
190885842,190882877,4728849,197.27243,4.127992,22
191888463,191885486,4728849,197.27243,4.127992,22
192890844,192887878,4728849,197.27243,4.030288,22
193893200,193890235,4728849,197.27243,4.030288,22
