timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
222664330,222663356,396809,-0.32164133,0.38923568,0.12953898,3
223241205,223186820,396809,-0.3235403,0.3899877,0.13228631,3
223710463,223709492,396809,-0.32392418,0.38884273,0.13491221,3
224158541,224157554,396809,-0.32465604,0.3919991,0.13484384,3
224735399,224680683,396809,-0.32057542,0.38964957,0.12910952,3
225204718,225203745,396809,-0.32667443,0.38455534,0.13304502,3
225652721,225651699,396809,-0.3244407,0.38771394,0.13326317,3
226229132,226174710,396809,-0.3221047,0.39003438,0.13016078,3
226698734,226697762,396809,-0.32586142,0.3895197,0.13792214,3
227146768,227145788,396809,-0.32756907,0.3906469,0.13935629,3
227723207,227668842,396809,-0.32224798,0.38979945,0.13027996,3
228193142,228192170,396809,-0.3261436,0.39041957,0.13469894,3
228641158,228640187,396809,-0.32763356,0.38805076,0.13455325,3
229238922,229237949,396809,-0.322439,0.38963306,0.13505627,3
229687410,229686439,396809,-0.32386786,0.3884448,0.1293233,3
230135477,230134490,396809,-0.3234697,0.38816467,0.131759,3
230733082,230732110,396809,-0.32049218,0.392113,0.13204959,3
231181583,231180611,396809,-0.32243425,0.3912115,0.13505791,3
231629696,231628725,396809,-0.32814777,0.3877112,0.13290502,3
232227418,232226446,396809,-0.32391462,0.39199966,0.13491547,3
232675496,232674525,396809,-0.32118922,0.38776836,0.12638499,3
233123953,233122969,396809,-0.32659805,0.39109764,0.13785213,3
233721720,233720747,396809,-0.3234673,0.38895386,0.13175982,3
234169671,234168671,396809,-0.32049936,0.3897453,0.13204715,3
234618081,234617108,396809,-0.3246632,0.38963142,0.13484138,3
235215807,235214835,396809,-0.32517737,0.38929185,0.13319317,3
235663766,235662795,396809,-0.322207,0.3908725,0.13348131,3
236240584,236186157,396809,-0.32329518,0.38933015,0.1323095,3
236709995,236709022,396809,-0.32541174,0.38726318,0.13476731,3
237158143,237157171,396809,-0.32415006,0.3893446,0.12610011,3
237734908,237680452,396809,-0.32384428,0.3900723,0.13265657,3
238204147,238203175,396809,-0.3286632,0.38720876,0.14164548,3
238652091,238651119,396809,-0.32346016,0.3913216,0.13176227,3
239229048,239174606,396809,-0.3224758,0.38990256,0.13012484,3
239698310,239697331,396809,-0.32939988,0.38878664,0.14157547,3
240146460,240145469,396809,-0.32197976,0.39053345,0.13190469,3
240723476,240668588,396809,-0.32272273,0.39000678,0.13183254,3
241192727,241191757,396809,-0.3253578,0.38607597,0.12917759,3
241640747,241639775,396809,-0.3246632,0.38963142,0.13484138,3
242238445,242237474,396809,-0.32391703,0.39121044,0.13491464,3
242686928,242685957,396809,-0.32614836,0.3888411,0.13469732,3
243135073,243134104,396809,-0.32689214,0.3880513,0.13462488,3
243732714,243731742,396809,-0.32260755,0.39036337,0.13104478,3
244181156,244180184,396809,-0.32540223,0.39042008,0.13477057,3
244629225,244628254,396809,-0.3278117,0.38562414,0.1305385,3
245227005,245226011,396809,-0.32368976,0.3908714,0.13333805,3
245675429,245674457,396809,-0.32272592,0.38895443,0.13183144,3
246123475,246122503,396809,-0.32986492,0.38568142,0.13433592,3
246721204,246720234,396809,-0.3228911,0.39110038,0.13821027,3
247169706,247168733,396809,-0.32096195,0.3874293,0.1248084,3
247617803,247616832,396809,-0.32882944,0.3887283,0.13763481,3
248215436,248214464,396809,-0.32346255,0.39053237,0.13176145,3
248663434,248662463,396809,-0.3228921,0.390474,0.12782077,3
249239921,249185639,396809,-0.32665497,0.38788188,0.13384852,3
249709605,249708631,396809,-0.32637557,0.38918015,0.13627392,3
250157469,250156497,396809,-0.32186854,0.3895747,0.13111559,3
250734032,250679832,396809,-0.32589227,0.38864344,0.13378958,3
251203710,251202737,396809,-0.32517737,0.38929185,0.13319317,3
251651730,251650758,396809,-0.32295558,0.38850427,0.13340724,3
252228220,252174043,396809,-0.32418862,0.38931975,0.13155723,3
252697897,252696921,396809,-0.3256939,0.388163,0.13154411,3
253145983,253145012,396809,-0.32386073,0.3908125,0.12932575,3
253744162,253743191,396809,-0.32512105,0.38889387,0.12760428,3
254192135,254191143,396809,-0.3248413,0.3872048,0.13082664,3
254640174,254639202,396809,-0.32335132,0.3895736,0.13097234,3
255238351,255237379,396809,-0.3234697,0.38816467,0.131759,3
255686401,255685429,396809,-0.3268348,0.38827974,0.13942547,3
256134502,256133529,396809,-0.32517976,0.38850263,0.13319235,3
256732574,256731603,396809,-0.32140929,0.39047506,0.12796403,3
257180544,257179572,396809,-0.32843122,0.38844815,0.14007051,3
257628642,257627672,396809,-0.32637793,0.3883909,0.1362731,3
258226385,258225387,396809,-0.3238655,0.389234,0.12932411,3
258674746,258673775,396809,-0.3263803,0.38760164,0.13627228,3
259122793,259121821,396809,-0.328088,0.3887288,0.13770644,3
259720470,259719499,396809,-0.32198453,0.388955,0.13190307,3
260169022,260168034,396809,-0.32265902,0.3923398,0.13663532,3
260617076,260616104,396809,-0.3268348,0.38827974,0.13942547,3
261214785,261213773,396809,-0.3231241,0.38923454,0.12939574,3
