timestamp,safety_switch_available,safety_off
221365630,1,1
222375608,1,1
223384607,1,1
224392659,1,1
225400607,1,1
226407607,1,1
227415607,1,1
228423607,1,1
229430607,1,1
230438607,1,1
231446607,1,1
232454609,1,1
233463607,1,1
234472611,1,1
235481611,1,1
236489610,1,1
237497628,1,1
238502608,1,1
239511676,1,1
240520626,1,1
241529644,1,1
242537950,1,1
243546609,1,1
244555608,1,1
245564607,1,1
246573796,1,1
247581683,1,1
248590607,1,1
249598607,1,1
250607608,1,1
251616638,1,1
252625610,1,1
253634607,1,1
254643607,1,1
255651607,1,1
256660607,1,1
257669607,1,1
258677607,1,1
259684630,1,1
260693608,1,1
