timestamp,timestamp_sample,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
223222389,223194844,1.9981139,2.0233545,24.255007,1.0
224262127,224223437,4.4104624,4.4661474,24.255007,1.0
225171934,225126798,4.6010804,4.6584177,24.157303,1.0
226241643,226216880,3.7813942,3.8284996,24.157303,1.0
227216399,227183796,3.781396,3.8285203,24.157303,1.0
228216230,228192647,1.9981139,2.0226667,24.059599,1.0
229245904,229214696,4.044779,4.094522,24.059599,1.0
230210668,229998230,4.044779,4.0945187,24.059599,1.0
231240491,231212751,3.024185,3.0608468,23.961895,1.0
232215165,232182048,2.8486943,2.8832312,23.961895,1.0
233239924,233190704,3.024187,3.0608063,23.961895,1.0
234244664,234212864,4.044779,4.09377,23.961895,1.0
235249414,235210742,4.2112274,4.2622123,23.961893,1.0
236264165,236236915,2.5630233,2.5936506,23.864191,1.0
237213929,237186385,3.024187,3.0602753,23.864191,1.0
238228685,238195575,1.9981108,2.0219753,23.864191,1.0
239243430,239210947,4.044779,4.0923896,23.766487,1.0
240218203,240193444,3.423788,3.464067,23.766487,1.0
241247940,241235266,4.4104624,4.4623375,23.766487,1.0
242262686,242237467,3.7813942,3.8258815,23.766487,1.0
243252446,243226889,3.7813942,3.8252473,23.668783,1.0
244252244,244229457,4.1079874,4.1556416,23.668783,1.0
245177005,245145696,3.781396,3.8252864,23.668783,1.0
246246705,246091891,3.7813942,3.825138,23.644356,1.0
247261456,247229233,4.044779,4.091082,23.57108,1.0
248236220,248172242,3.423788,3.4629323,23.57108,1.0
249241078,249233811,4.9603853,5.016331,23.473375,1.0
250240744,250216648,3.024187,3.0582457,23.473375,1.0
251205487,251172650,3.781396,3.82403,23.473375,1.0
252260229,252234510,4.1079874,4.1542783,23.473375,1.0
253224989,253197578,1.9981139,2.0206258,23.473375,1.0
254239742,254206471,3.781396,3.824,23.473375,1.0
255239495,255135909,3.7813926,3.8233736,23.375671,1.0
256244248,256217376,4.410464,4.4594746,23.375671,1.0
257244004,257186678,1.9981139,2.0202909,23.375671,1.0
258233909,258202258,3.1900377,3.2254682,23.375671,1.0
259213531,259184672,1.9981139,2.0199625,23.277967,1.0
260238265,260206984,3.781396,3.8227093,23.277967,1.0
261253029,261248690,4.9603853,5.014662,23.277967,1.0
