timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
222856614,0,11010053,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3756601.0,99.99,99.99,68,16,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,234,0,0,0,0
223857615,0,11010053,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3756660.5,99.99,99.99,68,22,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,234,0,0,0,0
224857611,0,11010053,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3756720.0,99.99,99.99,68,20,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,234,0,0,0,0
225858662,0,11010053,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3756780.0,99.99,99.99,68,28,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,234,0,0,0,0
226857615,0,11010053,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3756840.0,99.99,99.99,68,24,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,234,0,0,0,0
227857614,0,11010053,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3756900.8,99.99,99.99,68,32,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,234,0,0,0,0
228857059,0,11010053,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3756961.2,99.99,99.99,68,15,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,234,0,0,0,0
229856613,0,11010053,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3757022.2,99.99,99.99,68,14,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,234,0,0,0,0
230857667,0,11010053,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3757083.2,99.99,99.99,68,14,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,234,0,0,0,0
231857612,0,11010053,0,0,-17000,0,1000.00006,3.1415925,4294967.5,3757145.2,99.99,99.99,68,21,0.0,0.0,0.0,0.0,0.0,0,nan,0.0,0.0,234,0,0,0,0
