timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
221736119,0,0,164,158,96,22,53
222773922,0,0,162,159,100,23,47
223700444,0,0,159,156,100,22,50
224731634,0,0,159,152,100,26,49
225778634,0,0,161,155,100,23,40
226700896,0,0,159,152,100,24,62
227736653,0,0,162,156,97,27,41
228773983,0,0,162,154,98,25,47
229694964,0,0,160,151,100,23,43
230750989,0,0,153,154,100,25,45
231769634,0,0,162,159,100,23,47
232699949,0,0,165,156,100,19,56
233745132,0,0,167,157,100,24,59
234781019,0,0,169,160,99,21,41
235700634,0,0,165,152,98,20,42
236738890,0,0,164,156,100,25,43
237793633,0,0,160,158,97,22,50
238705033,0,0,162,154,100,21,51
239746822,0,0,157,156,100,22,45
240790571,0,0,164,160,94,26,46
241703159,0,0,164,161,100,20,60
242770539,0,0,165,155,100,25,43
243777543,0,0,166,151,97,22,49
244696888,0,0,166,157,97,24,43
245757734,0,0,163,158,93,28,50
246774342,0,0,161,159,98,22,42
247697634,0,0,155,151,100,24,49
248750478,0,0,161,156,100,23,49
249782852,0,0,158,153,100,21,59
250705273,0,0,161,154,100,21,45
251740124,0,0,161,152,97,22,37
252790929,0,0,158,148,100,23,47
253710643,0,0,164,154,100,22,42
254744120,0,0,163,158,100,22,51
255784031,0,0,162,153,100,22,60
256707277,0,0,163,156,100,21,50
257744894,0,0,168,161,100,33,42
258777630,0,0,168,160,100,18,59
259701114,0,0,161,156,100,25,42
260779039,0,0,166,152,100,25,48
