timestamp,main_state_changes,main_state
1048271663,0,0
1048776647,0,0
1049285708,0,0
1049795642,0,0
1050304643,0,0
1050814662,0,0
1051324647,0,0
1051834661,0,0
1052344663,0,0
1052854643,0,0
1053364644,0,0
1053874815,0,0
1054383674,0,0
1054892642,0,0
1055401663,0,0
1055911643,0,0
1056421984,0,0
1056931822,0,0
1057440644,0,0
1057950643,0,0
1058460644,0,0
1058969699,0,0
1059479644,0,0
1059989643,0,0
1060499643,0,0
1061009642,0,0
1061519641,0,0
1062029643,0,0
1062539643,0,0
1063049645,0,0
1063559643,0,0
1064068664,0,0
1064578642,0,0
1065089048,0,0
1065598657,0,0
1066108661,0,0
1066618644,0,0
1067128643,0,0
1067638665,0,0
1068148642,0,0
1068658657,0,0
1069168948,0,0
1069678887,0,0
1070187643,0,0
1070697642,0,0
1071207643,0,0
1071718400,0,0
1072227664,0,0
1072737694,0,0
1073248109,0,0
1073757839,0,0
1074267729,0,0
1074776642,0,0
1075285702,0,0
1075794643,0,0
1076303642,0,0
1076813642,0,0
1077323659,0,0
1077833665,0,0
1078343641,0,0
1078853662,0,0
1079363662,0,0
1079872643,0,0
1080381655,0,0
1080890644,0,0
1081400669,0,0
1081910925,0,0
1082420817,0,0
1082929644,0,0
1083439643,0,0
1083949642,0,0
1084459645,0,0
1084969642,0,0
1085479642,0,0
1085990005,0,0
1086499944,0,0
1087009789,0,0
1087518643,0,0
1088027643,0,0
