timestamp,safety_switch_available,safety_off
1048084607,1,1
1049087625,1,1
1050095607,1,1
1051104608,1,1
1052113607,1,1
1053122697,1,1
1054130607,1,1
1055137630,1,1
1056146842,1,1
1057154607,1,1
1058163659,1,1
1059171610,1,1
1060180608,1,1
1061189607,1,1
1062198608,1,1
1063207852,1,1
1064215607,1,1
1065224742,1,1
1066233635,1,1
1067242656,1,1
1068251607,1,1
1069260607,1,1
1070268678,1,1
1071277607,1,1
1072286607,1,1
1073295608,1,1
1074303607,1,1
1075310607,1,1
1076318607,1,1
1077323607,1,1
1078332607,1,1
1079341607,1,1
1080348607,1,1
1081356607,1,1
1082365870,1,1
1083373607,1,1
1084382607,1,1
1085391607,1,1
1086400607,1,1
1087408608,1,1
