timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch
1048162197,1048129380,1,6,0,0,0,0,0,0,0,0,0
1049182314,1049149202,1,6,0,0,0,0,0,0,0,0,0
1050196702,1050168894,1,6,0,0,0,0,0,0,0,0,0
1051226508,1051193733,1,6,0,0,0,0,0,0,0,0,0
1052236201,1052208420,1,6,0,0,0,0,0,0,0,0,0
1053246145,1053213178,1,6,0,0,0,0,0,0,0,0,0
1054270824,1054238042,1,6,0,0,0,0,0,0,0,0,0
1055290645,1055257794,1,6,0,0,0,0,0,0,0,0,0
1056305211,1056272478,1,6,0,0,0,0,0,0,0,0,0
1057330181,1057297266,1,6,0,0,0,0,0,0,0,0,0
1058355050,1058322016,1,6,0,0,0,0,0,0,0,0,0
1059374627,1059341980,1,6,0,0,0,0,0,0,0,0,0
1060399369,1060366535,1,6,0,0,0,0,0,0,0,0,0
1061414234,1061386315,1,6,0,0,0,0,0,0,0,0,0
1062428989,1062396084,1,6,0,0,0,0,0,0,0,0,0
1063443678,1063415834,1,6,0,0,0,0,0,0,0,0,0
1064458424,1064425592,1,6,0,0,0,0,0,0,0,0,0
1065468259,1065440424,1,6,0,0,0,0,0,0,0,0,0
1066483064,1066450107,1,6,0,0,0,0,0,0,0,0,0
1067492810,1067465014,1,6,0,0,0,0,0,0,0,0,0
1068507568,1068474686,1,6,0,0,0,0,0,0,0,0,0
1069527142,1069494398,1,6,0,0,0,0,0,0,0,0,0
1070536923,1070504279,1,6,0,0,0,0,0,0,0,0,0
1071551875,1071518938,1,6,0,0,0,0,0,0,0,0,0
1072566711,1072538701,1,6,0,0,0,0,0,0,0,0,0
1073591335,1073563563,1,6,0,0,0,0,0,0,0,0,0
1074606224,1074573219,1,6,0,0,0,0,0,0,0,0,0
1075630873,1075598015,1,6,0,0,0,0,0,0,0,0,0
1076640660,1076612750,1,6,0,0,0,0,0,0,0,0,0
1077660436,1077627516,1,6,0,0,0,0,0,0,0,0,0
1078675293,1078642295,1,6,0,0,0,0,0,0,0,0,0
1079689935,1079662093,1,6,0,0,0,0,0,0,0,0,0
1080704807,1080671806,1,6,0,0,0,0,0,0,0,0,0
1081719641,1081686632,1,6,0,0,0,0,0,0,0,0,0
1082729265,1082701373,1,6,0,0,0,0,0,0,0,0,0
1083743925,1083711212,1,6,0,0,0,0,0,0,0,0,0
1084768619,1084735863,1,6,0,0,0,0,0,0,0,0,0
1085788456,1085760622,1,6,0,0,0,0,0,0,0,0,0
1086818265,1086785445,1,6,0,0,0,0,0,0,0,0,0
1087833149,1087805175,1,6,0,0,0,0,0,0,0,0,0
