timestamp,main_state_changes,main_state
43804646,0,0
44304684,0,0
44813662,0,0
45323641,0,0
45833776,0,0
46343643,0,0
46852642,0,0
47361791,0,0
47870642,0,0
48379641,0,0
48889692,0,0
49399661,0,0
49909642,0,0
50418642,0,0
50927641,0,0
51436641,0,0
51946641,0,0
52456641,0,0
52965642,0,0
53474641,0,0
53983642,0,0
54492645,0,0
54694754,0,0
55204642,0,0
55713728,0,0
56222641,0,0
56732642,0,0
57242700,0,0
57752642,0,0
58262661,0,0
58771670,0,0
59281642,0,0
59790661,0,0
60299642,0,0
60808641,0,0
61318808,0,0
61828641,0,0
62337643,0,0
62846642,0,0
63355642,0,0
63864661,0,0
64374641,0,0
64884642,0,0
65393641,0,0
65902655,0,0
66412641,0,0
66922641,0,0
67432640,0,0
67942640,0,0
68452642,0,0
68962640,0,0
69472642,0,0
69982641,0,0
70491745,0,0
71000642,0,0
71510668,0,0
72019641,0,0
72529661,0,0
73039715,0,0
73548641,0,0
74057673,0,0
74566642,0,0
75076642,0,0
75585661,0,0
76095641,0,0
76605641,0,0
77114642,0,0
77623658,0,0
78132663,0,0
78642641,0,0
79152641,0,0
79662641,0,0
80171642,0,0
80681642,0,0
81191641,0,0
81701641,0,0
82211652,0,0
82721641,0,0
83231657,0,0
83741641,0,0
84251672,0,0
84761642,0,0
85271661,0,0
85780641,0,0
86289880,0,0
86798641,0,0
87308641,0,0
87818641,0,0
88327641,0,0
88836641,0,0
89345719,0,0
89854642,0,0
90363641,0,0
90873641,0,0
91382642,0,0
91892641,0,0
92402641,0,0
92911641,0,0
93420641,0,0
93930641,0,0
94440641,0,0
94950642,0,0
95460643,0,0
95970642,0,0
96480641,0,0
96990641,0,0
97500641,0,0
98009674,0,0
98518644,0,0
99027819,0,0
99536641,0,0
100046991,0,0
100556661,0,0
101066641,0,0
101575650,0,0
102084661,0,0
102593642,0,0
103102641,0,0
103612641,0,0
104121640,0,0
104631642,0,0
105140672,0,0
105649643,0,0
106158683,0,0
106668641,0,0
107178641,0,0
107688641,0,0
108198641,0,0
108707642,0,0
109217642,0,0
109727641,0,0
110236670,0,0
110746641,0,0
111255643,0,0
111764641,0,0
112273642,0,0
112782662,0,0
113292641,0,0
113801654,0,0
114310641,0,0
114819641,0,0
115329641,0,0
115839642,0,0
116349642,0,0
116858661,0,0
117368641,0,0
117877661,0,0
118386641,0,0
118896655,0,0
119406641,0,0
119915641,0,0
120425641,0,0
120934701,0,0
121444640,0,0
121954641,0,0
122464640,0,0
122974641,0,0
123483641,0,0
123992641,0,0
124501641,0,0
125011641,0,0
125521641,0,0
126031641,0,0
126541643,0,0
127050641,0,0
127560641,0,0
128070641,0,0
128579662,0,0
129088661,0,0
129597642,0,0
130106661,0,0
130616676,0,0
131126661,0,0
131636642,0,0
132145641,0,0
132654643,0,0
133164653,0,0
133674642,0,0
134184872,0,0
134694641,0,0
135204642,0,0
135713641,0,0
136222641,0,0
136732662,0,0
137242642,0,0
137752642,0,0
138261734,0,0
138770641,0,0
139279641,0,0
139779646,0,0
140289642,0,0
140798641,0,0
141307641,0,0
141816642,0,0
142326642,0,0
142836643,0,0
142851799,0,0
143361641,0,0
143870661,0,0
144380641,0,0
144835734,0,0
145345672,0,0
145690771,0,0
146200663,0,0
146710642,0,0
147219641,0,0
147728967,0,0
148237642,0,0
148747641,0,0
149025755,0,0
149534658,0,0
150043671,0,0
150552641,0,0
151062641,0,0
151571641,0,0
152081641,0,0
152590652,0,0
153099653,0,0
153609661,0,0
154119642,0,0
154629745,0,0
155138642,0,0
155647642,0,0
156156654,0,0
156666272,0,0
157175641,0,0
157685643,0,0
158195641,0,0
158704641,0,0
159214641,0,0
159723641,0,0
160232641,0,0
160742641,0,0
161251691,0,0
161761641,0,0
162270642,0,0
162779642,0,0
163289662,0,0
163799641,0,0
164309656,0,0
164774841,0,0
165284665,0,0
165706748,0,0
