timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
43737570,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
44062742,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
44182769,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
44252674,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
44297688,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
44382795,0,0.5080645,-0.41836736,0.0,1.0,0.0,1.0,0.0,0.0
44479585,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
44537744,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
44627856,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
44742830,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
44852826,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
44897809,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
45067814,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
45127830,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
45262931,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
45367957,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
45457970,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
45562914,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
45667942,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
45732989,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
45867975,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
45973063,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
46038044,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
46178051,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
46198092,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
46378259,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
46423209,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
46563123,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
46693162,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
46738183,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
46918248,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
46943197,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
47048534,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
47183377,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
47248275,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
47313272,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
47423311,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
47578364,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
47638352,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
47733387,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
47873394,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48013549,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48058528,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48168635,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48278482,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48383618,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48448622,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48583580,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48603775,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48738596,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48873597,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
48938613,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
49018646,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
49128670,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
49378768,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
49398731,0,0.5080645,-0.41836736,0.0,0.98170733,0.0,1.0,0.0,0.0
