timestamp,imbalanced_prop_metric,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_high_wind,fd_battery,fd_imbalanced_prop
43808825,nan,0,0,0,0,0,0,0,0
44308540,nan,0,0,0,0,0,0,0,0
44818013,nan,0,0,0,0,0,0,0,0
45327758,nan,0,0,0,0,0,0,0,0
45837635,nan,0,0,0,0,0,0,0,0
46347463,nan,0,0,0,0,0,0,0,0
46856203,nan,0,0,0,0,0,0,0,0
47365420,nan,0,0,0,0,0,0,0,0
47874560,nan,0,0,0,0,0,0,0,0
48384007,nan,0,0,0,0,0,0,0,0
48893824,nan,0,0,0,0,0,0,0,0
49403658,nan,0,0,0,0,0,0,0,0
49913354,nan,0,0,0,0,0,0,0,0
50422515,nan,0,0,0,0,0,0,0,0
50931107,nan,0,0,0,0,0,0,0,0
51441062,nan,0,0,0,0,0,0,0,0
51950628,nan,0,0,0,0,0,0,0,0
52460442,nan,0,0,0,0,0,0,0,0
52969512,nan,0,0,0,0,0,0,0,0
53478556,nan,0,0,0,0,0,0,0,0
53987236,nan,0,0,0,0,0,0,0,0
54496618,nan,0,0,0,0,0,0,0,0
54698951,nan,0,0,0,0,0,0,0,0
55208561,nan,0,0,0,0,0,0,0,0
55717200,nan,0,0,0,0,0,0,0,0
56226763,nan,0,0,0,0,0,0,0,0
56736627,nan,0,0,0,0,0,0,0,0
57246988,nan,0,0,0,0,0,0,0,0
57756755,nan,0,0,0,0,0,0,0,0
58266553,nan,0,0,0,0,0,0,0,0
58775783,nan,0,0,0,0,0,0,0,0
59285570,nan,0,0,0,0,0,0,0,0
59794513,nan,0,0,0,0,0,0,0,0
60303343,nan,0,0,0,0,0,0,0,0
60812716,nan,0,0,0,0,0,0,0,0
61322656,nan,0,0,0,0,0,0,0,0
61832536,nan,0,0,0,0,0,0,0,0
62341589,nan,0,0,0,0,0,0,0,0
62850431,nan,0,0,0,0,0,0,0,0
63358940,nan,0,0,0,0,0,0,0,0
63868676,nan,0,0,0,0,0,0,0,0
64378726,nan,0,0,0,0,0,0,0,0
64888412,nan,0,0,0,0,0,0,0,0
65397509,nan,0,0,0,0,0,0,0,0
65906783,nan,0,0,0,0,0,0,0,0
66416597,nan,0,0,0,0,0,0,0,0
66926761,nan,0,0,0,0,0,0,0,0
