timestamp,bias_x[0],bias_x[1],bias_x[2],bias_x[3],bias_y[0],bias_y[1],bias_y[2],bias_y[3],bias_z[0],bias_z[1],bias_z[2],bias_z[3],valid[0],valid[1],valid[2],valid[3],stable[0],stable[1],stable[2],stable[3]
43876326,-0.00093483145,-0.0005386921,0.0,0.0,-0.00083913235,0.0012993187,0.0,0.0,0.00076582306,0.0005924594,0.0,0.0,0,0,0,0,0,0,0,0
43901059,-0.00082371786,-0.00052971055,0.0,0.0,-0.00093003607,0.0012635689,0.0,0.0,0.00078519376,0.0006213996,0.0,0.0,0,0,0,0,0,0,0,0
44081347,-0.0009814065,-0.0005095401,0.0,0.0,-0.0009142676,0.0010272653,0.0,0.0,0.00084966875,0.0007238849,0.0,0.0,0,0,0,0,0,0,0,0
44281089,-0.0008025344,-0.00050693686,0.0,0.0,-0.000832379,0.0006609135,0.0,0.0,0.00078393886,0.00079871935,0.0,0.0,0,0,0,0,0,0,0,0
44481187,-0.0009525619,-0.00032968452,0.0,0.0,-0.0007984463,0.00022347512,0.0,0.0,0.0008590446,0.0010485105,0.0,0.0,0,0,0,0,0,0,0,0
44681370,-0.00093896245,-0.00028084966,0.0,0.0,-0.000970288,0.00040543624,0.0,0.0,0.0008833151,0.001146618,0.0,0.0,0,0,0,0,0,0,0,0
44881232,-0.0011493431,-0.0004957768,0.0,0.0,-0.00068227254,0.00067154283,0.0,0.0,0.0008985426,0.0010529943,0.0,0.0,0,0,0,0,0,0,0,0
45081404,-0.001307989,-0.00049929507,0.0,0.0,-0.00077097595,0.0005986865,0.0,0.0,0.0007765516,0.0011293504,0.0,0.0,0,0,0,0,0,0,0,0
45281491,-0.0012670576,-0.0004238571,0.0,0.0,-0.00021904324,0.0006366086,0.0,0.0,0.000574011,0.0012696756,0.0,0.0,0,0,0,0,0,0,0,0
45481290,-0.0013606956,-0.00039114387,0.0,0.0,-0.00016408459,0.0008724807,0.0,0.0,0.0005043369,0.0011311625,0.0,0.0,0,0,0,0,0,0,0,0
45681009,-0.0016830722,-0.00036503153,0.0,0.0,-0.00017679276,0.0008597881,0.0,0.0,0.00063572725,0.0011824608,0.0,0.0,0,0,0,0,0,0,0,0
45880996,-0.0015598472,-0.00051325664,0.0,0.0,-0.00053441414,0.0008574187,0.0,0.0,0.0006392898,0.0010538007,0.0,0.0,0,0,0,0,0,0,0,0
46080996,-0.0016220118,-0.0004497057,0.0,0.0,-0.00052722375,0.0006193725,0.0,0.0,0.00056288793,0.0011475681,0.0,0.0,0,0,0,0,0,0,0,0
46280996,-0.0017982561,-0.00045825957,0.0,0.0,-0.00031079038,0.0006130897,0.0,0.0,0.0005243194,0.001168407,0.0,0.0,0,0,0,0,0,0,0,0
46480997,-0.0018130094,-0.00054836465,0.0,0.0,-0.00052938226,0.0012284186,0.0,0.0,0.0005813425,0.00090030336,0.0,0.0,0,0,0,0,0,0,0,0
46680996,-0.0017654188,-0.00063810055,0.0,0.0,-0.0005789454,0.0009096095,0.0,0.0,0.0007019427,0.0008099707,0.0,0.0,0,0,0,0,0,0,0,0
46880996,-0.0018829292,-0.0007528733,0.0,0.0,-0.00054913806,0.0010628529,0.0,0.0,0.00069687964,0.00086260174,0.0,0.0,0,0,0,0,0,0,0,0
47080997,-0.0018749834,-0.00072591216,0.0,0.0,-0.0006503786,0.0010942903,0.0,0.0,0.00070626667,0.00073830027,0.0,0.0,0,0,0,0,0,0,0,0
47280997,-0.0019627912,-0.0007849367,0.0,0.0,-0.00036751284,0.0011630435,0.0,0.0,0.0005953827,0.0007707119,0.0,0.0,0,0,0,0,0,0,0,0
47480996,-0.0021159193,-0.00071276596,0.0,0.0,-0.00016015221,0.0008457927,0.0,0.0,0.00056939176,0.0007838977,0.0,0.0,0,0,0,0,0,0,0,0
47680996,-0.0020802205,-0.0005785001,0.0,0.0,-0.00023275269,0.00097099086,0.0,0.0,0.00053184375,0.00084215205,0.0,0.0,0,0,0,0,0,0,0,0
47881014,-0.0022833408,-0.00043241287,0.0,0.0,-1.9989368e-05,0.0013029276,0.0,0.0,0.00032674966,0.00067659817,0.0,0.0,0,0,0,0,0,0,0,0
48080996,-0.0022166693,-0.00033803956,0.0,0.0,-2.7743306e-05,0.0015523728,0.0,0.0,0.0003932138,0.00071310386,0.0,0.0,0,0,0,0,0,0,0,0
