timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale_raw,tas_scale_raw_var,tas_scale_validated,beta_innov,beta_innov_var,source
110767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
111767779,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
112767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
113767764,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
114767774,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
115767783,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
116767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
117767787,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
118767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
119767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
120767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
121767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
122767773,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
123767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
124767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
125767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
126767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
127767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
128767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
129767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
130767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
131767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
132767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
133767766,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
134767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
135767764,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
136767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
137767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
138767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
139767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
140767780,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
141767779,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
142767777,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
143767804,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
144767765,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0
