timestamp,time_estimate,safe_time_estimate,valid
43876482,0.0,0.0,0
44916249,0.0,0.0,0
45936512,0.0,0.0,0
46956758,0.0,0.0,0
47976956,0.0,0.0,0
48997339,0.0,0.0,0
50017499,0.0,0.0,0
51037813,0.0,0.0,0
52058106,0.0,0.0,0
53078142,0.0,0.0,0
54088138,0.0,0.0,0
55098426,0.0,0.0,0
56118593,0.0,0.0,0
57138989,0.0,0.0,0
58158987,0.0,0.0,0
59179248,0.0,0.0,0
60199610,0.0,0.0,0
61209774,0.0,0.0,0
62229994,0.0,0.0,0
63250107,0.0,0.0,0
64270292,0.0,0.0,0
65290507,0.0,0.0,0
66310675,0.0,0.0,0
67330966,0.0,0.0,0
68351220,0.0,0.0,0
69371438,0.0,0.0,0
70391524,0.0,0.0,0
71411834,0.0,0.0,0
72432334,0.0,0.0,0
73452219,0.0,0.0,0
74462670,0.0,0.0,0
75482667,0.0,0.0,0
76502888,0.0,0.0,0
77523060,0.0,0.0,0
78533394,0.0,0.0,0
79553588,0.0,0.0,0
80573887,0.0,0.0,0
81594318,0.0,0.0,0
82614140,0.0,0.0,0
83634349,0.0,0.0,0
84654587,0.0,0.0,0
85674925,0.0,0.0,0
86695261,0.0,0.0,0
87715458,0.0,0.0,0
88735585,0.0,0.0,0
89745690,0.0,0.0,0
90766151,0.0,0.0,0
91786224,0.0,0.0,0
92806383,0.0,0.0,0
93826678,0.0,0.0,0
94846886,0.0,0.0,0
95867010,0.0,0.0,0
96887428,0.0,0.0,0
97907453,0.0,0.0,0
98927887,0.0,0.0,0
99948108,0.0,0.0,0
100968421,0.0,0.0,0
101988827,0.0,0.0,0
102998686,0.0,0.0,0
104018838,0.0,0.0,0
105039121,0.0,0.0,0
106059341,0.0,0.0,0
107079743,0.0,0.0,0
108099905,0.0,0.0,0
109120035,0.0,0.0,0
110140247,0.0,0.0,0
111160891,0.0,0.0,0
112170828,0.0,0.0,0
113191051,0.0,0.0,0
114211126,0.0,0.0,0
115231441,0.0,0.0,0
116251670,0.0,0.0,0
117271885,0.0,0.0,0
118282144,0.0,0.0,0
119302454,0.0,0.0,0
120322828,0.0,0.0,0
121342796,0.0,0.0,0
122363132,0.0,0.0,0
123383350,0.0,0.0,0
124393710,0.0,0.0,0
125413964,0.0,0.0,0
126434026,0.0,0.0,0
127454236,0.0,0.0,0
128474479,0.0,0.0,0
129494720,0.0,0.0,0
130515045,0.0,0.0,0
131535121,0.0,0.0,0
132555360,0.0,0.0,0
133575773,0.0,0.0,0
134595912,0.0,0.0,0
135616154,0.0,0.0,0
136636445,0.0,0.0,0
137656798,0.0,0.0,0
138667010,0.0,0.0,0
139687093,0.0,0.0,0
140697284,0.0,0.0,0
141717649,0.0,0.0,0
142737797,0.0,0.0,0
143768018,0.0,0.0,0
144788451,0.0,0.0,0
145798454,0.0,0.0,0
146818731,0.0,0.0,0
147829150,0.0,0.0,0
148849318,0.0,0.0,0
149889921,0.0,0.0,0
150909793,0.0,0.0,0
151930065,0.0,0.0,0
152950280,0.0,0.0,0
153970570,0.0,0.0,0
154990787,0.0,0.0,0
156010917,0.0,0.0,0
157021188,0.0,0.0,0
158041493,0.0,0.0,0
159061785,0.0,0.0,0
160081911,0.0,0.0,0
161102174,0.0,0.0,0
162122384,0.0,0.0,0
163142636,0.0,0.0,0
164162792,0.0,0.0,0
165183388,0.0,0.0,0
