timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
44373512,5.0508084,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
44873484,5.0570526,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
45373514,5.0516143,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
45873486,5.0591674,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
46373484,5.069943,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
46873483,5.052722,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
47373483,5.053326,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
47873483,5.050708,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
48373483,5.051715,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
48873484,5.059872,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
49373577,5.0525208,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
49873483,5.0484924,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
50373484,5.0501037,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
50873484,5.0395293,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
51373520,5.0249267,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
51873484,5.051312,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
52373489,5.0288544,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
52873484,5.0472836,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
53373483,5.046982,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
53873483,5.042752,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
54373500,5.032681,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
54873571,5.042752,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
55373844,5.04245,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
55873498,5.024121,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
56373604,5.040234,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
56873759,5.0419464,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
57373766,5.0615845,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
57873484,5.045471,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
58373484,5.04245,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
58873483,5.045572,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
59373484,5.03963,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
59873483,5.0417447,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
60373483,5.020596,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
60873504,5.0108275,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
61373484,5.0417447,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
61873518,5.0388246,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
62373484,5.0433564,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
62873484,5.041846,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
63373484,5.027545,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
63873487,5.045572,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
64373484,5.0408387,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
64873490,5.04104,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
65373485,5.026135,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
65873484,5.0433564,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
66373487,5.040234,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
66873483,5.045572,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
67373517,5.0180783,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
67873484,5.052319,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
68373484,5.026135,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
68873485,5.038321,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
69373515,5.027142,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
69873484,5.0257325,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
70373484,5.040234,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
70873593,5.0360045,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
71373484,5.023013,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
71873483,5.044061,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
72373485,5.0370116,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
72873484,5.027142,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
73373484,5.0394287,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
73873489,5.041846,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
74373505,5.0278473,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
74873484,5.029559,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
75373484,5.038623,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
75873485,5.04386,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
76373484,5.03248,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
76873690,5.044464,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
77373497,5.030969,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
77873483,5.0249267,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
78373554,5.0225096,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
78873483,5.0462766,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
79373697,5.03822,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
79873671,5.0466795,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
80373883,5.0413423,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
80873925,5.02684,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
81373962,5.023215,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
81873484,5.040335,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
82373484,5.0380187,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
82873485,5.030768,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
83373483,5.0388246,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
83873484,5.0421476,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
84373485,5.0223083,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
84873484,5.0436583,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
85373484,5.039227,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
