timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
44766104,44665764,0.37253356,0.040208336,-0.009185969,-0.9271018,-0.117158145,-0.06844565,-0.13228995,-0.11593856,-0.05375476,-0.28689936,1.9853951e-05,-6.894992e-05,0.00022573899,-0.00035900512,-0.00035671718,-0.0008524505,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,0.00012694455,3.1970416e-05,3.2837972e-05,4.4557437e-05,0.01643195,0.016412988,0.01814467,0.049638856,0.049606968,0.27315152,2.3792291e-11,2.3263494e-11,1.4397543e-10,1.071454e-06,1.07333e-06,5.000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
45766455,45665970,0.36033106,0.040169146,-0.010114428,-0.9319043,-0.112175,-0.060354788,-0.13732962,-0.12238872,-0.061943002,-0.39986613,1.9482051e-05,-6.9268855e-05,0.00022743865,-0.00031667796,-0.00028142406,-0.0008566614,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,0.00012719652,3.1500324e-05,3.2382948e-05,4.1161617e-05,0.016184725,0.016176548,0.018263046,0.049318872,0.04929955,0.26972142,2.4063591e-11,2.3554457e-11,1.3580298e-10,1.0508753e-06,1.0521114e-06,5.0000178e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
46766533,46666177,0.3489551,0.04040061,-0.011327971,-0.9361997,-0.10141111,-0.06318651,-0.11163148,-0.11900136,-0.06713818,-0.36567715,1.918548e-05,-6.9654314e-05,0.00022843649,-0.00028948273,-0.00020667414,-0.00088447856,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,0.00012645373,3.1190095e-05,3.207296e-05,3.7735943e-05,0.016021324,0.016017688,0.018444419,0.049031384,0.049021117,0.266784,2.4306236e-11,2.382659e-11,1.2776508e-10,1.0362706e-06,1.0370622e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
47766718,47666384,0.338874,0.040243477,-0.011704884,-0.93989784,-0.09354425,-0.06330762,-0.099320404,-0.11288595,-0.07254313,-0.36226746,1.9034142e-05,-7.0123264e-05,0.00022835383,-0.00027329556,-0.00014646044,-0.00090392056,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,0.00012656118,3.099268e-05,3.1859436e-05,3.481431e-05,0.01590609,0.015904525,0.018889252,0.04882314,0.0488183,0.2702973,2.4520552e-11,2.4071016e-11,1.210576e-10,1.0262542e-06,1.0267702e-06,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
48766947,48666590,0.32939482,0.040359315,-0.012258545,-0.94324964,-0.08644893,-0.05900612,-0.0816142,-0.10435235,-0.06991599,-0.33722585,1.8962142e-05,-7.0622475e-05,0.00022782158,-0.00026571946,-9.783707e-05,-0.000924967,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,0.00012656765,3.0871368e-05,3.1718053e-05,3.2096974e-05,0.01584999,0.01584896,0.019059611,0.04868603,0.048684273,0.26832676,2.4694857e-11,2.4278473e-11,1.1493814e-10,1.019604e-06,1.0199532e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
49767149,49666797,0.32097697,0.040461525,-0.01294758,-0.9461338,-0.0889044,-0.05370362,-0.06853223,-0.09911961,-0.06362418,-0.32351512,1.8987488e-05,-7.115127e-05,0.00022649806,-0.00026340917,-6.292711e-05,-0.00094178965,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,0.00012562722,3.080269e-05,3.161675e-05,2.9375366e-05,0.015817361,0.015815875,0.019440167,0.048598636,0.048597775,0.27258673,2.4823655e-11,2.4445416e-11,1.0885881e-10,1.0153493e-06,1.0156238e-06,5.000018e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
50767364,50667005,0.31316385,0.040388703,-0.01348119,-0.9487441,-0.07809629,-0.037159305,-0.032575432,-0.09412206,-0.054862842,-0.20533551,1.9043251e-05,-7.167932e-05,0.00022478418,-0.00026455917,-3.5385045e-05,-0.0009715606,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,0.00012546578,3.076899e-05,3.154594e-05,2.705038e-05,0.015774751,0.015771758,0.019771596,0.048543163,0.04854194,0.2770307,2.4919034e-11,2.4576301e-11,1.03775724e-10,1.0127497e-06,1.012999e-06,5.0000452e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
51767633,51667212,0.30662924,0.04107195,-0.013398689,-0.95084804,-0.07464343,-0.039828192,0.0063534,-0.087649114,-0.045887154,-0.024017246,1.9172925e-05,-7.2225965e-05,0.00022222931,-0.00026849203,-1.6579164e-05,-0.0010048245,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,0.00012439003,3.0754876e-05,3.1503936e-05,2.474431e-05,0.015760696,0.015758064,0.019775737,0.04850532,0.04850334,0.27520877,2.4976219e-11,2.46705e-11,9.869921e-11,1.011246e-06,1.0114984e-06,5.0000274e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
52767828,52667419,0.3222288,0.0416742,-0.012006782,-0.9456679,-0.15067102,-0.037666157,0.04780955,-0.10986047,-0.04016793,0.15604177,2.0649633e-05,-7.3589144e-05,0.00020490994,-0.00030051396,-2.2283433e-05,-0.0010311095,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,0.0001239706,3.0769308e-05,3.148673e-05,2.2854867e-05,0.015720997,0.015717842,0.019725239,0.048470613,0.04846748,0.27317268,2.5006625e-11,2.473313e-11,9.445114e-11,1.010459e-06,1.0107304e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
53767967,53667627,0.3402876,0.04166775,-0.011086288,-0.9393323,-0.23804873,-0.020771084,0.071720384,-0.1744689,-0.034403402,0.25641873,2.2056269e-05,-7.514528e-05,0.00018680538,-0.00033149272,-3.363444e-05,-0.0010372968,0.20430563,-0.051855456,0.3082266,0.0,0.0,0.0,0.0,0.0,0.00012330986,3.0830415e-05,3.1505137e-05,2.1265467e-05,0.015720367,0.015720602,0.01991541,0.048439335,0.04843558,0.2770921,2.5001426e-11,2.4755918e-11,9.054596e-11,1.0102112e-06,1.0104956e-06,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
