timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
124561367,124560421,396809,0.00530303,0.115909085,0.2742424,nan,0
125564902,125563956,396809,0.012121212,0.1280303,0.26893938,nan,0
126568128,126567182,396809,0.009090909,0.12499999,0.27575758,nan,0
127571004,127570057,396809,0.0037878787,0.12272727,0.2810606,nan,0
128574619,128573671,396809,0.0075757573,0.12121212,0.27727273,nan,0
129577973,129577027,396809,0.006060606,0.13787879,0.27727273,nan,0
130559652,130558679,396809,-0.0022727272,0.13560605,0.28636363,nan,0
131563153,131562206,396809,0.006060606,0.13787879,0.2742424,nan,0
132565868,132564921,396809,-0.0022727272,0.1371212,0.28257576,nan,0
133569457,133568509,396809,0.0022727272,0.14242424,0.28636363,nan,0
134572809,134571863,396809,0.0022727272,0.14242424,0.28257576,nan,0
135575465,135574518,396809,0.0015151515,0.13787879,0.28257576,nan,0
136579173,136578208,396809,0.00530303,0.13787879,0.2780303,nan,0
137561135,137560188,396809,0.00075757573,0.14015152,0.27954546,nan,0
138563868,138562922,396809,0.0022727272,0.13787879,0.27727273,nan,0
139567565,139566619,396809,0.0022727272,0.14242424,0.2780303,nan,0
140570385,140569439,396809,-0.0015151515,0.13560605,0.29242423,nan,0
141573881,141572933,396809,0.006060606,0.14166667,0.27954546,nan,0
142577157,142576211,396809,0.0015151515,0.14015152,0.28787878,nan,0
143580067,143579120,396809,0.0,0.13560605,0.27954546,nan,0
144562379,144561433,396809,0.003030303,0.14090909,0.27045453,nan,0
145565707,145564761,396809,0.0015151515,0.13939394,0.2742424,nan,0
146568630,146567673,396809,-0.0022727272,0.13636363,0.2840909,nan,0
147572342,147571396,396809,0.0015151515,0.14166667,0.28636363,nan,0
148575128,148574181,396809,0.003030303,0.14015152,0.2810606,nan,0
149578624,149577678,396809,0.00075757573,0.14318182,0.28257576,nan,0
150581867,150580921,396809,0.0037878787,0.14166667,0.2742424,nan,0
151563336,151562390,396809,-0.0037878787,0.13560605,0.28257576,nan,0
152566977,152566031,396809,0.00530303,0.14166667,0.2780303,nan,0
153570267,153569321,396809,0.003030303,0.14469697,0.26893938,nan,0
154573236,154572289,396809,0.0,0.13787879,0.29090908,nan,0
155576870,155575924,396809,0.0037878787,0.14166667,0.28484848,nan,0
156579671,156578725,396809,0.0,0.13787879,0.28939393,nan,0
157583403,157582456,396809,0.0037878787,0.13636363,0.28484848,nan,0
158565435,158564488,396809,0.0022727272,0.13863637,0.26742423,nan,0
159568365,159567419,396809,-0.0037878787,0.13560605,0.2780303,nan,0
160571981,160571035,396809,0.009090909,0.13787879,0.28257576,nan,0
161575306,161574361,396809,0.006060606,0.1371212,0.29090908,nan,0
162578117,162577171,396809,-0.0037878787,0.1340909,0.28787878,nan,0
163581652,163580706,396809,0.003030303,0.13787879,0.28257576,nan,0
164563230,164562284,396809,0.00530303,0.13181818,0.28484848,nan,0
165566550,165565603,396809,0.00075757573,0.1280303,0.27954546,nan,0
