timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
44518848,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,3.1583788,0.13165987,7.961313e-09,0.8589318,-0.9045735,-9.675907,-0.0059211473,-0.038275864,0.012435274,30.464111,12.5397005,11.354723,0.033103887,0.010985392,0.004251528,52.42488,52.42488
45564464,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,3.2384593,0.13366106,6.5054584e-09,1.0611666,-0.8377408,-9.835,-0.0007231227,-0.03505355,0.012091799,46.19045,21.236004,17.2537,0.043088775,0.015594863,0.0065192534,52.435284,52.435284
46610091,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,3.185615,0.12991357,5.756393e-09,0.94233114,-0.8472951,-9.769851,-0.0049684634,-0.038552854,0.012446,32.02984,11.95497,13.073171,0.026102558,0.0128302025,0.0035109709,52.44536,52.44536
47551148,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,3.1666946,0.12775388,4.3637995e-09,0.95486814,-0.81451267,-9.820156,-0.0069241454,-0.03825253,0.011827974,20.614601,6.5096574,10.187961,0.015572916,0.011288106,0.0015076252,52.475197,52.475197
48596782,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,3.1691911,0.12895492,4.9617874e-09,0.8370465,-0.8841073,-9.687334,-0.009356231,-0.039082464,0.011493126,25.618168,8.676914,11.339663,0.019470299,0.010797481,0.0022304282,52.482178,52.482178
49537827,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,3.4063604,0.12792087,4.8499547e-09,1.2058142,-0.78145885,-9.890326,-0.0063999505,-0.033357404,0.012218855,19.849033,7.276171,9.899575,0.017093366,0.011325522,0.0016998124,52.48951,52.48951
50583452,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,3.4287367,0.1385799,8.349071e-09,1.1045699,-0.7603417,-9.906309,-0.0013092813,-0.036824226,0.012274096,23.851349,8.655125,10.923154,0.01922604,0.012395573,0.0023001258,52.48742,52.48742
51524506,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,3.4877117,0.13745289,5.3707394e-09,1.1478475,-0.7750699,-9.771642,-0.0061041224,-0.0363174,0.012421734,13.676942,4.7442074,7.4797583,0.022889296,0.009631151,0.0022657178,52.524506,52.524506
52565176,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,1.0755142,0.041568216,1.7967278e-10,1.1117944,-0.80290526,-9.783,-0.0058538546,-0.03626095,0.01256354,0.0075951647,0.03496324,0.03393937,8.100331e-05,2.1783364e-05,9.799164e-06,52.485985,52.485985
53610772,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,0.28437296,0.01007986,2.3221669e-10,1.1042224,-0.7999876,-9.821302,-0.005081925,-0.036461104,0.012377649,0.073733926,0.03244377,0.052590568,0.00014488916,2.8407116e-05,1.6566022e-05,52.493675,52.493675
54551833,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,0.25035784,0.010829683,1.4020018e-10,1.1036243,-0.80490005,-9.834643,-0.0054691713,-0.036470875,0.012184905,0.014145809,0.015377456,0.012697472,8.152361e-05,1.2262977e-05,1.0657625e-05,52.487637,52.487637
55597480,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,0.06421279,0.002782622,2.583755e-11,1.1048647,-0.8051335,-9.827868,-0.0055518993,-0.036348425,0.012093684,7.1567265e-05,0.00060195825,0.00043947404,1.3953854e-06,8.673283e-07,3.812249e-07,52.498272,52.498272
56538691,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,0.02724971,0.0013244022,2.0494273e-11,1.109111,-0.80002713,-9.814366,-0.0052515715,-0.03629793,0.012235048,0.00031956413,0.0010899665,0.0008342638,1.6614634e-06,1.2083083e-06,5.355455e-07,52.489143,52.489143
57584137,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,0.023569053,0.0011906901,2.0720288e-11,1.1094854,-0.7967757,-9.809544,-0.00590403,-0.03618356,0.0122795375,9.980852e-05,0.0009712465,0.000476717,1.37026e-06,1.1351357e-06,4.3871444e-07,52.48426,52.48426
58525198,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,0.021485142,0.0010754667,2.1598385e-11,1.1105862,-0.7982509,-9.809102,-0.0050112163,-0.036451384,0.012480375,5.872114e-05,0.00043420485,0.000494278,1.2892177e-06,9.3097634e-07,4.5859437e-07,52.506977,52.506977
59570819,2490378,2490378,0,0,0,0,0,401.68707,401.68707,8033.7417,8033.7417,0.019288594,0.0009768618,2.3267945e-11,1.1087453,-0.8019804,-9.821085,-0.0049974476,-0.036480136,0.012170369,0.0001547787,0.0005394407,0.0005838261,8.156372e-07,1.0003415e-06,3.5047916e-07,52.49353,52.49353
