timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
64134911,64134801,4259850,4325386,5.1108193e-05,-0.00013868771,3.215087e-05,0.0035820364,-0.0023054788,-0.046277832,5001,4917,0,2,0
64635016,64634905,4259850,4325386,1.448347e-05,-9.262622e-05,2.2542713e-06,0.0035326218,-0.0033686438,-0.048053216,5001,4917,0,2,0
65135119,65135009,4259850,4325386,2.579661e-05,-5.1894192e-05,2.4083198e-05,0.003416751,-0.003546802,-0.049046498,5001,4917,0,2,0
65635223,65635114,4259850,4325386,1.4655201e-05,-3.3252334e-05,-3.5598878e-06,0.0036858753,-0.0033143396,-0.048229385,5002,4918,0,2,0
66135326,66135218,4259850,4325386,2.2113314e-05,-7.411088e-05,-1.4190207e-05,0.0034538333,-0.003293221,-0.048494678,5001,4917,0,2,0
66635434,66635322,4259850,4325386,2.7657596e-05,-2.2533986e-05,-2.2289147e-05,0.0036571787,-0.003264947,-0.04837888,5001,4917,0,2,0
67140539,67140428,4259850,4325386,5.9376657e-06,-2.559382e-05,1.9653156e-05,0.0035759874,-0.0032103083,-0.048488785,5001,4917,0,2,0
67635644,67635531,4259850,4325386,1.9094441e-05,-4.5246936e-05,-2.5413763e-06,0.0034170696,-0.0035173,-0.048503343,5001,4917,0,2,0
68135747,68135636,4259850,4325386,2.7570974e-05,-7.0752445e-05,1.8227143e-05,0.0036772038,-0.0034234854,-0.04846245,5001,4916,0,2,0
68635853,68635741,4259850,4325386,2.345962e-05,-5.85042e-05,1.4522437e-05,0.0034917737,-0.0033590025,-0.04849185,5001,4916,0,2,0
69135962,69135846,4259850,4325386,4.038808e-05,-5.793026e-05,1.4347399e-05,0.0035955145,-0.003441923,-0.048649922,5001,4917,0,2,0
69636069,69635950,4259850,4325386,6.9942175e-06,-4.979927e-05,2.642209e-05,0.0035658006,-0.0033967635,-0.048392918,5001,4914,0,2,0
70136166,70136055,4259850,4325386,5.9154954e-06,-2.9122146e-05,6.536712e-06,0.0036211074,-0.0031728083,-0.048393164,5001,4917,0,2,0
70636270,70636161,4259850,4325386,3.3190147e-06,-8.723994e-05,1.402487e-06,0.0034735838,-0.0033429496,-0.048345674,5002,4917,0,2,0
71136373,71136265,4259850,4325386,1.5170197e-05,-4.1045878e-05,1.6496257e-05,0.0034243092,-0.0032567298,-0.048333216,5001,4918,0,2,0
71636482,71636371,4259850,4325386,5.134917e-05,-3.301999e-05,-9.656854e-06,0.0036109723,-0.0032860376,-0.048231546,5001,4917,0,2,0
72136587,72136476,4259850,4325386,2.3451148e-05,-4.402961e-05,1.4585516e-05,0.003508949,-0.0034416236,-0.048481494,5001,4917,0,2,0
72636691,72636581,4259850,4325386,-1.3836063e-05,-4.4630095e-05,-2.0899794e-05,0.0036064764,-0.0033182818,-0.048276268,5001,4918,0,2,0
73136796,73136687,4259850,4325386,4.4209085e-07,-1.2213114e-05,-1.9146943e-05,0.0035048919,-0.0032817351,-0.048291933,5002,4917,0,2,0
73637036,73636792,4259850,4325386,5.899418e-06,-3.3395565e-05,-1.1081195e-05,0.0035962875,-0.0032708733,-0.048262637,5001,4916,0,2,0
74137007,74136898,4259850,4325386,1.6720565e-05,-1.5720714e-05,-7.3529736e-06,0.0036118047,-0.0033623509,-0.048156764,5001,4916,0,2,0
74637129,74637003,4259850,4325386,-2.3513019e-06,-4.9113212e-05,3.909968e-06,0.0035812445,-0.003339347,-0.04830589,5001,4919,0,2,0
75137288,75137110,4259850,4325386,-1.9132785e-06,-2.8011887e-05,1.3571448e-05,0.005343991,-0.004919472,-0.07253162,5002,7376,0,2,0
75637324,75637215,4259850,4325386,1.2451007e-05,-5.0346433e-05,-9.1744016e-07,0.0036906924,-0.0032978205,-0.048417807,5001,4916,0,2,0
76137433,76137321,4259850,4325386,2.2546868e-05,-4.673736e-05,-1.1136764e-05,0.003601545,-0.0032817032,-0.04853269,5001,4914,0,2,0
76637538,76637427,4259850,4325386,1.9842642e-05,-6.246378e-05,4.5221273e-06,0.0035177134,-0.0033955076,-0.048390027,5001,4915,0,2,0
77137690,77137534,4259850,4325386,1.7761155e-05,-1.6847216e-05,-2.032872e-05,0.0035811712,-0.0031869344,-0.048527744,5002,4916,0,2,0
77637800,77637640,4259850,4325386,-8.770571e-06,-6.361835e-05,1.0350877e-05,0.0035355466,-0.0032748145,-0.048307244,5001,4916,0,2,0
78137859,78137746,4259850,4325386,1.554721e-05,-5.1922045e-05,2.3364416e-06,0.0034957747,-0.0032715148,-0.048368923,5001,4916,0,2,0
78637961,78637853,4259850,4325386,2.7227388e-05,-7.0553964e-05,1.0065775e-05,0.0034580932,-0.0034004347,-0.04844382,5002,4915,0,2,0
79138067,79137959,4259850,4325386,-2.8661748e-06,-5.917226e-05,3.0290046e-05,0.0035103408,-0.0033320268,-0.048407137,5001,4915,0,2,0
79638177,79638066,4259850,4325386,3.4349716e-05,-5.844133e-05,8.821855e-06,0.003599137,-0.0033260968,-0.04852004,5001,4916,0,2,0
80138284,80138173,4259850,4325386,7.1337045e-06,-7.550031e-05,-1.2856278e-06,0.003533538,-0.0034314154,-0.04829067,5001,4916,0,2,0
80638391,80638280,4259850,4325386,6.0709493e-07,-7.1943236e-05,2.1562648e-05,0.0036382144,-0.0033412767,-0.04821123,5002,4914,0,2,0
81138498,81138387,4259850,4325386,2.1083729e-06,-4.7418405e-05,1.8031884e-05,0.00347175,-0.003284338,-0.048408702,5002,4917,0,2,0
81633605,81633493,4259850,4325386,2.0451478e-05,-3.4365356e-05,-1.595666e-05,0.003906682,-0.003756713,-0.053305756,5001,5407,0,2,0
82133716,82133600,4259850,4325386,2.3803528e-05,-4.9591556e-05,2.2793158e-05,0.0034956317,-0.0034017586,-0.048363775,5001,4915,0,2,0
82638824,82638708,4259850,4325386,1.4250334e-05,-1.4307948e-05,1.0819616e-05,0.003473072,-0.0033961483,-0.0484895,5001,4915,0,2,0
83138923,83138815,4259850,4325386,3.6805545e-06,-3.945772e-05,-1.0424989e-05,0.0035890692,-0.0033461943,-0.04835901,5001,4916,0,2,0
83639031,83638923,4259850,4325386,2.5095645e-05,-6.1020746e-05,-3.439061e-05,0.0037089672,-0.0034021146,-0.048253167,5001,4915,0,2,0
84139141,84139031,4259850,4325386,3.8569913e-05,-4.5742654e-05,2.8388097e-06,0.003696836,-0.0033695446,-0.04839053,5002,4916,0,2,0
84639248,84639138,4259850,4325386,2.2318231e-06,-4.721791e-05,1.4779542e-05,0.0035102966,-0.0033527943,-0.048254844,5001,4916,0,2,0
85134357,85134245,4259850,4325386,-7.5002963e-06,-4.4588796e-05,3.0852312e-05,0.0035302094,-0.0032668905,-0.048497103,5001,4916,0,2,0
85634479,85634353,4259850,4325386,2.9673936e-05,-6.359992e-05,2.52719e-05,0.00357073,-0.0032780443,-0.048593868,5001,4915,0,2,0
86134577,86134461,4259850,4325386,1.0665529e-05,-6.045991e-05,4.259512e-05,0.00359903,-0.0032711693,-0.048441187,5001,4916,0,2,0
86634679,86634569,4259850,4325386,1.1359996e-05,-4.4525466e-05,5.8868495e-06,0.003656,-0.003449151,-0.048443437,5001,4916,0,2,0
