timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
62459783,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
63460028,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
64460258,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
65460407,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
66460629,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
67460913,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
68461050,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
69461247,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
70461512,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
71461703,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
72461983,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
73462112,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
74462307,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
75462506,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
76462818,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
77463024,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
78463137,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
79463354,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
80463700,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
81463787,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
82463999,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
83464208,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
84464543,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
85464644,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
86464878,1455969,1,4259850,4028193,4325386,396809,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
