timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
86331217,86330230,396809,-0.0068133897,0.22853859,0.28290486,3
86779332,86778342,396809,-0.0024165013,0.23051828,0.28892514,3
87355650,87301211,396809,-0.005399061,0.23120205,0.28877074,3
87825497,87824524,396809,-0.0071532,0.2296735,0.29565927,3
88273539,88272566,396809,-0.0024165013,0.23051828,0.28892514,3
88849938,88795481,396809,-0.0043471176,0.23013091,0.28753966,3
89319198,89318203,396809,-0.009150177,0.2293328,0.2938678,3
89767645,89766672,396809,-0.0018508104,0.22888145,0.28498286,3
90365507,90364479,396809,-0.0038453995,0.22932999,0.2831922,3
90813509,90812536,396809,-0.010361365,0.22464857,0.28655493,3
91262045,91261072,396809,-0.0024165013,0.23051828,0.28892514,3
91859703,91858730,396809,-0.0048092753,0.23124695,0.28469878,3
92307793,92306821,396809,-0.008021161,0.22526991,0.28598234,3
92756323,92755332,396809,-0.0028194468,0.22921993,0.28648785,3
93354092,93353120,396809,-0.003896922,0.23130642,0.2887827,3
93802144,93801171,396809,-0.0076649897,0.23012316,0.29401186,3
94250533,94249564,396809,-0.0058423746,0.22898933,0.2814007,3
94848201,94847228,396809,-0.0018999451,0.23164709,0.2905742,3
95296340,95295367,396809,-0.0045868075,0.22932945,0.28312057,3
95744460,95743487,396809,-0.0065359753,0.22606026,0.2861264,3
96342468,96341495,396809,-0.0025874462,0.23045938,0.28491285,3
96790500,96789527,396809,-0.0042998604,0.23000807,0.2863454,3
97366397,97312236,396809,-0.009240182,0.22775203,0.29012856,3
97836446,97835472,396809,-0.002861444,0.23435332,0.29208165,3
98284579,98283606,396809,-0.0036076054,0.23277429,0.29200837,3
98860844,98806515,396809,-0.009698787,0.22701034,0.29154882,3
99330966,99329993,396809,-0.0008774092,0.23012143,0.2834795,3
99779047,99778074,396809,-0.00013600856,0.23012197,0.28355116,3
100355044,100300879,396809,-0.009449918,0.23075995,0.29250795,3
100825144,100824171,396809,-0.0036195188,0.22882809,0.2920043,3
101273343,101272357,396809,-0.0010951123,0.2336174,0.2850594,3
101849306,101795138,396809,-0.0058219535,0.22964174,0.28819597,3
102319577,102318604,396809,-0.005658489,0.2336208,0.29580662,3
102767645,102766670,396809,-0.002638969,0.23243578,0.29050335,3
103365321,103364348,396809,-0.010632975,0.22933172,0.2937245,3
103813833,103812838,396809,-0.008350101,0.22972468,0.28835133,3
104261798,104260825,396809,-0.0030477154,0.2289326,0.27767494,3
104859664,104858691,396809,-0.0028194468,0.22921993,0.28648785,3
105307676,105306704,396809,-0.011550077,0.2276938,0.28963894,3
105756143,105755171,396809,-0.0036157868,0.2297802,0.2816164,3
106353794,106352822,396809,-0.003377993,0.23322447,0.29043257,3
106801796,106800823,396809,-0.008182881,0.22883146,0.30275148,3
107250170,107249187,396809,-0.0033803734,0.23243524,0.29043174,3
107847832,107846859,396809,-0.0005880926,0.23158929,0.28670517,3
108295929,108294957,396809,-0.0053353515,0.2269612,0.2830465,3
108744519,108743541,396809,-0.0019152898,0.2262853,0.28017983,3
109342325,109341354,396809,9.836134e-05,0.23215064,0.281977,3
109790316,109789343,396809,-0.0031029664,0.22995692,0.2936533,3
110238891,110237922,396809,-0.009264828,0.22887598,0.2842666,3
