timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
43841176,0,0,126,120,100,24,44
44748163,0,0,127,121,100,25,47
45785923,0,0,127,121,95,23,57
46831724,0,0,126,121,94,22,50
47748536,0,0,122,120,98,21,41
48794804,0,0,124,119,100,24,65
49732297,0,0,124,118,100,37,50
50755507,0,0,125,119,100,24,54
51790263,0,0,123,119,100,23,46
52830368,0,0,125,118,96,23,42
53746235,0,0,125,119,96,21,51
54802632,0,0,125,119,97,27,57
55835104,0,0,125,119,97,23,53
56747055,0,0,126,120,97,22,36
57800819,0,0,126,120,100,21,47
58824279,0,0,126,120,98,25,47
59747476,0,0,125,120,100,21,42
60806915,0,0,125,120,95,24,52
61824806,0,0,125,120,100,26,64
62751995,0,0,125,120,100,23,49
63826605,0,0,124,120,100,24,43
64723631,0,0,123,118,100,24,60
65752354,0,0,124,118,100,22,47
66810286,0,0,124,119,90,24,43
67825504,0,0,124,119,100,24,55
68748633,0,0,124,119,100,24,55
69790413,0,0,123,119,95,24,58
70723411,0,0,124,119,98,25,49
71749124,0,0,125,118,100,25,46
72793633,0,0,125,119,100,22,47
73719861,0,0,124,119,100,29,39
74749639,0,0,123,119,100,26,62
75801943,0,0,124,119,100,22,43
76827272,0,0,124,119,98,23,48
77750150,0,0,125,119,100,29,49
78798959,0,0,124,119,94,22,63
79827557,0,0,124,119,98,23,35
80762963,0,0,125,119,100,21,45
81792106,0,0,126,119,100,23,40
82827869,0,0,125,119,100,25,48
83755106,0,0,125,119,100,19,64
84792424,0,0,124,119,100,21,64
85722438,0,0,124,117,100,25,42
86761404,0,0,127,121,100,25,45
87792632,0,0,126,118,97,26,49
88730894,0,0,124,118,100,23,46
89771628,0,0,121,116,97,21,50
90796115,0,0,119,111,100,34,48
91722365,0,0,116,112,100,22,54
92752201,0,0,121,116,100,24,51
93801009,0,0,119,113,100,23,49
94723023,0,0,121,116,100,23,52
95752633,0,0,116,113,100,24,48
96801465,0,0,123,118,100,28,37
97723517,0,0,120,115,100,24,41
98764633,0,0,123,116,100,21,56
99798177,0,0,131,126,100,25,47
100833129,0,0,132,127,100,27,45
101757571,0,0,126,124,100,23,49
102798557,0,0,122,122,100,79,39
103755628,0,0,119,110,100,26,41
104754330,0,0,122,119,97,24,44
105795633,0,0,125,121,100,24,46
106725632,0,0,127,120,100,27,60
107755239,0,0,127,122,100,21,53
108796255,0,0,127,121,100,22,44
109855418,0,0,125,122,96,28,39
110758171,0,0,130,126,100,23,61
111796940,0,0,131,127,97,24,46
112761438,0,0,132,126,93,21,55
113755974,0,0,131,126,100,37,50
114801497,0,0,127,124,100,23,58
115723957,0,0,128,123,100,27,54
116760561,0,0,130,126,100,23,58
117801356,0,0,130,125,98,27,53
118732073,0,0,130,126,100,21,25
119761200,0,0,129,125,97,26,66
120809882,0,0,124,121,100,23,35
121741845,0,0,115,116,100,25,50
122757632,0,0,120,117,100,25,53
123802394,0,0,122,117,100,24,50
124729289,0,0,124,121,100,25,54
125758128,0,0,122,122,100,26,52
126799634,0,0,127,121,100,23,53
127725921,0,0,128,125,98,24,48
128758632,0,0,124,119,97,22,56
129809752,0,0,125,120,100,29,60
130726481,0,0,125,120,98,26,44
131759239,0,0,126,122,100,21,59
132804628,0,0,126,120,100,23,55
133726820,0,0,125,120,100,25,47
134763609,0,0,120,115,100,22,44
135801151,0,0,126,123,97,23,57
136735912,0,0,129,126,100,22,45
137764321,0,0,119,109,100,22,58
138819856,0,0,117,114,97,25,54
139732211,0,0,120,117,100,24,37
140763535,0,0,127,122,100,24,43
141805454,0,0,129,124,95,21,48
142732692,0,0,128,124,100,27,56
143761211,0,0,126,119,98,28,49
144805632,0,0,116,115,100,24,49
145748499,0,0,121,116,100,23,56
146761633,0,0,130,125,100,24,45
147814040,0,0,124,117,98,24,51
148729440,0,0,120,116,98,25,55
149762339,0,0,114,103,100,28,44
150810920,0,0,114,110,96,23,53
151727123,0,0,116,110,100,27,55
152757948,0,0,108,105,97,27,52
153804634,0,0,110,104,98,27,38
154728084,0,0,105,109,100,26,49
155768103,0,0,108,109,100,24,55
156805585,0,0,116,115,100,24,47
157736260,0,0,123,123,100,27,45
158811541,0,0,124,120,100,46,53
159805994,0,0,122,116,97,29,60
160736593,0,0,112,103,96,25,64
161785428,0,0,117,111,90,30,45
162809862,0,0,123,118,100,27,47
163733118,0,0,119,112,100,21,49
164765634,0,0,111,108,98,20,62
