timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,valid,data_source,sticks_moving
43795993,43736606,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
43996405,43736606,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
44062747,44061772,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
44252679,44251695,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
44479591,44478567,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
44627861,44626888,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
44852832,44851858,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
45067819,45066850,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
45262936,45261962,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
45457976,45457005,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
45687953,45686980,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
45888034,45887014,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
46038052,46037075,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
46198111,46197097,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
46423215,46422233,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
46563129,46562157,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
46758176,46737194,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
47048540,47047311,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
47248281,47247310,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
47488421,47487393,-0.41836736,0.5080645,0.98170733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
