timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
103651570,103651398,2490378,-0.20087352,0.20829555,-9.916065,53.146137,0,0,0,0,20
104652400,104652227,2490378,-0.19788077,0.22014685,-9.917382,53.08575,0,0,0,0,20
105650740,105650566,2490378,-0.20326772,0.19991584,-9.936775,53.23068,0,0,0,0,20
106651569,106651396,2490378,-0.20554222,0.22325931,-9.89763,53.22464,0,0,0,0,20
107652395,107652226,2490378,-0.2219425,0.1816002,-9.901101,53.191425,0,0,0,0,20
108653229,108653056,2490378,-0.20470425,0.20877439,-9.899306,53.251812,0,0,0,0,20
109651570,109651397,2490378,-0.19883846,0.21380222,-9.888532,53.291065,0,0,0,0,20
110652401,110652228,2490378,-0.21440077,0.21655555,-9.908763,53.288044,0,0,0,0,20
111653235,111653060,2490378,-0.21775265,0.17645267,-9.896313,53.18237,0,0,0,0,20
112654062,112653891,2490378,-0.22290018,0.21116859,-9.958802,53.254833,0,0,0,0,20
113652406,113652234,2490378,-0.20602106,0.2171541,-9.920015,53.309177,0,0,0,0,20
114653237,114653067,2490378,-0.20434512,0.23092076,-9.897869,53.27295,0,0,0,0,20
115654069,115653899,2490378,-0.20985179,0.21942858,-9.885539,53.245773,0,0,0,0,20
116649924,116649753,2490378,-0.22481555,0.21380222,-9.9421625,53.342392,0,0,0,0,20
117650768,117650588,2490378,-0.227928,0.23523033,-9.925642,53.291065,0,0,0,0,20
118651591,118651420,2490378,-0.17992426,0.21751323,-9.903017,53.42995,0,0,0,0,20
119654917,119654744,2490378,-0.20374657,0.21080947,-9.875005,53.375603,0,0,0,0,20
120650773,120650600,2490378,-0.16711529,0.21200657,-9.897511,53.40278,0,0,0,0,20
121651639,121651435,2490378,-0.19476831,0.23211786,-9.902778,53.324276,0,0,0,0,20
122652442,122652270,2490378,-0.20997149,0.19752164,-9.917382,53.35145,0,0,0,0,20
123650787,123650617,2490378,-0.21033062,0.17860745,-9.910439,53.423916,0,0,0,0,20
124651626,124651452,2490378,-0.20278889,0.2195483,-9.891524,53.411835,0,0,0,0,20
125652459,125652289,2490378,-0.19548658,-0.046567224,-10.57088,53.457127,0,0,0,0,20
126653310,126653125,2490378,-0.26874915,0.3298013,-10.019256,53.48128,0,0,0,0,20
127651645,127651473,2490378,-0.3110068,0.10103531,-10.253648,53.502415,0,0,0,0,20
128652480,128652309,2490378,-0.2207454,0.1922544,-9.91798,53.511475,0,0,0,0,20
129653318,129653147,2490378,-0.289459,-1.1581951,-10.025002,53.502415,0,0,0,0,20
130651664,130651494,2490378,-0.20638019,0.18555063,-9.924564,53.460144,0,0,0,0,20
131652501,131652331,2490378,-0.22409728,0.21643583,-9.900144,53.508457,0,0,0,0,20
132653339,132653169,2490378,-0.21751323,0.21104889,-9.941443,53.451088,0,0,0,0,20
133654178,133654006,2490378,-0.20231004,0.23068133,-9.930551,53.408817,0,0,0,0,20
134650035,134649865,2490378,-0.27341783,1.0326192,-9.767744,53.532608,0,0,0,0,20
135653425,135653192,2490378,-0.20961235,0.21930888,-9.921811,53.490337,0,0,0,0,20
136654202,136654030,2490378,-0.20853497,0.23906104,-9.923727,53.43901,0,0,0,0,20
137650060,137649888,2490378,-0.16771384,0.2597709,-9.901221,53.408817,0,0,0,0,20
138650902,138650726,2490378,-0.20141222,0.48479593,-9.53024,53.52657,0,0,0,0,20
139651736,139651564,2490378,-0.24612394,0.19081788,-9.843282,53.514496,0,0,0,0,20
140652577,140652402,2490378,-0.20961235,0.19512744,-9.935578,53.496376,0,0,0,0,20
141650921,141650750,2490378,-0.19500773,0.15574282,-9.882786,53.499397,0,0,0,0,20
142651761,142651588,2490378,-0.20961235,0.24444799,-9.88506,53.61111,0,0,0,0,20
143652594,143652425,2490378,-0.038097735,0.09008184,-8.562444,53.469204,0,0,0,0,20
144650945,144650774,2490378,0.0017357962,0.2946963,-8.597758,53.57186,0,0,0,0,20
145651787,145651612,2490378,-0.12051813,-0.063865334,-9.482026,53.478264,0,0,0,0,20
146652626,146652450,2490378,-1.103727,-0.26563668,-10.1143055,53.48732,0,0,0,0,20
147650970,147650798,2490378,-0.47273514,0.12449849,-10.234853,53.523552,0,0,0,0,20
148651809,148651636,2490378,-0.252708,0.13682863,-10.034818,53.502415,0,0,0,0,20
149652644,149652474,2490378,-0.256419,0.15993267,-9.87704,53.556763,0,0,0,0,20
150653489,150653312,2490378,-0.30717608,0.1804031,-9.925523,53.484303,0,0,0,0,20
151651834,151651661,2490378,-0.22266077,0.227928,-9.8677025,53.508457,0,0,0,0,20
152652674,152652499,2490378,-0.22972366,0.2195483,-9.763555,53.44505,0,0,0,0,20
153653510,153653338,2490378,-0.25582045,0.16340427,-9.892722,53.553745,0,0,0,0,20
154654351,154654176,2490378,-0.26372132,0.10163386,-10.04607,53.538647,0,0,0,0,20
155650211,155650036,2490378,-0.21416135,0.20171149,-9.861358,53.460144,0,0,0,0,20
156653537,156653366,2490378,0.024001872,0.32626984,-9.50932,53.3907,0,0,0,0,20
157654374,157654203,2490378,-0.2053028,0.117555305,-9.578961,53.511475,0,0,0,0,20
158650236,158650063,2490378,-0.1400608,0.5505467,-9.632592,53.54469,0,0,0,0,20
159651077,159650907,2490378,-0.17238252,0.018315643,-9.753618,53.599033,0,0,0,0,20
160651933,160651743,2490378,-0.2243367,0.10414778,-9.93474,53.5779,0,0,0,0,20
161652756,161652582,2490378,-0.15610196,0.07553706,-9.766547,53.61111,0,0,0,0,20
162651105,162650933,2490378,-0.18459295,0.07936779,-9.70358,53.52959,0,0,0,0,20
163651944,163651773,2490378,-0.12749124,0.134195,-10.061513,53.589977,0,0,0,0,20
164652793,164652614,2490378,-0.03115455,-0.07433996,-9.440308,53.62017,0,0,0,0,20
165651136,165650964,2490378,-0.1423353,0.016639702,-9.811199,53.538647,0,0,0,0,20
