timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
47486979,47386639,0.00040491374,0.0024306276,0.012229582,537002515,0,0.30750367,0.5209477,0.022330819,nan,nan,0.014698919,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,8,0,229,1,0,1,0,3,0,0,0,0,0,0,0
47685805,47585805,0.00019384622,0.0018053588,0.008230493,537002515,0,0.30610046,0.5249454,0.009438076,nan,nan,0.012927365,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,8,0,229,1,0,1,0,3,0,0,0,0,0,0,0
47885043,47784971,0.00056964974,0.0011014328,0.002283804,537002515,0,0.30470526,0.52316785,0.043951176,nan,nan,0.00079870154,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,8,0,229,1,0,1,0,3,0,0,0,0,0,0,0
48084191,47984137,0.0007163937,0.002459786,0.009476136,537002515,0,0.30331764,0.5214064,0.040789794,nan,nan,0.027710492,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,8,0,229,1,0,1,0,3,0,0,0,0,0,0,0
48293273,48193261,0.00048562707,0.0036663783,0.016216373,537002515,0,0.30331802,0.52071023,0.008935947,nan,nan,0.012668864,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,8,0,229,1,0,1,0,3,0,0,0,0,0,0,0
48492517,48392427,0.0002856667,0.0031815825,0.012739794,537002515,0,0.30194134,0.5248019,0.0070821093,nan,nan,0.006175404,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,8,0,229,1,0,1,0,3,0,0,0,0,0,0,0
48691587,48591594,0.00040814056,0.0027470728,0.008172656,537002515,0,0.30057144,0.52306974,0.029659947,nan,nan,0.017329054,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,8,0,229,1,0,1,0,3,0,0,0,0,0,0,0
48890761,48790759,0.000597164,0.0033026605,0.009650325,537002515,0,0.2992103,0.5213475,0.044784635,nan,nan,0.015887918,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,8,0,229,1,0,1,0,3,0,0,0,0,0,0,0
49089977,48989925,0.00036084084,0.0039483956,0.012536182,537002515,0,0.29785421,0.5254827,0.012703334,nan,nan,0.004415373,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,8,0,229,1,0,1,0,3,0,0,0,0,0,0,0
49289129,49189091,0.00023236574,0.004334101,0.013159063,537002515,0,0.29650652,0.5237685,0.009503281,nan,nan,0.0010383456,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,8,0,229,1,0,1,0,3,0,0,0,0,0,0,0
