timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
110629983,110629822,2490378,-0.00562902,-0.037201494,0.008446861,53.191425,0,20
111630817,111630653,2490378,-0.003990276,-0.039429788,0.008863209,53.30012,0,20
112631648,112631485,2490378,-0.0020117918,-0.038303982,0.008913171,53.327297,0,20
113629989,113629827,2490378,-0.0035472817,-0.039356507,0.009472742,53.21558,0,20
114630822,114630659,2490378,-0.0076707886,-0.039499734,0.009869104,53.291065,0,20
115631658,115631492,2490378,-0.004173469,-0.038890198,0.009149656,53.254833,0,20
116629997,116629836,2490378,-0.0046431087,-0.03986279,0.009655934,53.242756,0,20
117630830,117630669,2490378,-0.005702297,-0.03851382,0.0084068915,53.333336,0,20
118631665,118631503,2490378,-0.0035805895,-0.0390201,0.009156317,53.278984,0,20
119632517,119632338,2490378,-0.005562404,-0.041138478,0.009372818,53.39674,0,20
120630845,120630683,2490378,-0.0050228178,-0.038417228,0.009266233,53.330315,0,20
121631679,121631518,2490378,-0.0052393186,-0.04127171,0.009575996,53.32126,0,20
122632514,122632353,2490378,-0.0040968605,-0.03922994,0.010588553,53.342392,0,20
123630862,123630699,2490378,-0.005129403,-0.039802834,0.010052297,53.375603,0,20
124631710,124631538,2490378,-0.0060919984,-0.040775422,0.010258806,53.414856,0,20
125632580,125632372,2490378,0.09648273,-0.09344506,0.008560107,53.40278,0,20
126633370,126633208,2490378,0.008680016,-0.043363437,0.010595215,53.56884,0,20
127629234,127629066,2490378,0.0028278332,-0.041601457,0.009449426,53.399757,0,20
128630070,128629903,2490378,-0.005792228,-0.038713668,0.008183729,53.52053,0,20
129633392,129633229,2490378,0.013216539,-0.033364434,0.006874732,53.469204,0,20
130629250,130629087,2490378,-0.0031009573,-0.039629634,0.009329517,53.420895,0,20
131630100,131629925,2490378,-0.0040968605,-0.039223276,0.007850651,53.52959,0,20
132630929,132630762,2490378,-0.002081738,-0.039553024,0.009056394,53.460144,0,20
133631764,133631600,2490378,-0.0050561256,-0.039632965,0.008480169,53.511475,0,20
134630110,134629948,2490378,-0.004290046,-0.03986279,0.008889855,53.523552,0,20
135630948,135630785,2490378,-0.0026046708,-0.039173316,0.009093032,53.39674,0,20
136631787,136631623,2490378,-0.0052992725,-0.03939648,0.010485299,53.502415,0,20
137630131,137629971,2490378,0.004713055,-0.03940647,0.0107884,53.457127,0,20
138630970,138630809,2490378,0.001398928,-0.024667764,0.012570368,53.469204,0,20
139631846,139631647,2490378,-0.006498354,-0.042101074,0.00780402,53.52657,0,20
140632647,140632484,2490378,-0.001871899,-0.039499734,0.008933155,53.417877,0,20
141630995,141630832,2490378,0.0012523737,-0.03722481,0.008276991,53.559784,0,20
142631831,142631670,2490378,0.01594445,-0.0277121,0.008909839,53.414856,0,20
143632672,143632508,2490378,-0.031865582,0.009742535,0.006984648,53.499397,0,20
144628532,144628367,2490378,-0.032425154,-0.0348433,0.010964931,53.475243,0,20
145631856,145631695,2490378,-0.038447205,-0.05222998,0.012973392,53.451088,0,20
146632696,146632533,2490378,-0.021183768,0.0044166157,-0.0027911945,53.451088,0,20
147633532,147633370,2490378,0.013852718,-0.23792435,0.00035972436,53.559784,0,20
