timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,accel_calibration_count,gyro_calibration_count
44115651,-0.07001672,-0.02432307,-0.006090108,5001,0,1.3330967,0.278975,-9.721431,4918,0,2,0
44120652,0.06391058,-0.020622054,0.017994074,5001,0,-0.19895193,-1.2174613,-9.166029,4918,0,2,0
44125653,-0.040144622,-0.000663753,-0.0077079954,5001,0,2.2560399,0.29289168,-9.961611,4918,0,2,0
44130654,0.031366907,-0.04421506,0.0026639155,5001,0,-1.0201371,-1.6344041,-8.782126,4918,0,2,0
44135655,0.013790444,0.011336684,0.0019125844,5001,0,2.6181421,0.47405905,-10.712982,4918,0,2,0
44140656,-0.02544912,-0.06230994,-0.006218453,5001,0,-1.4477867,-1.5462701,-9.075275,4919,0,2,0
44145657,0.043720737,0.03886458,0.0025807573,5001,0,2.7643814,0.50140387,-10.9204,4918,0,2,0
44150658,-0.05355227,-0.06590776,-0.010262131,5001,0,-1.6242434,-1.4072925,-9.253309,4919,0,2,0
44155659,0.05544996,0.046041973,0.017152697,5001,0,2.5555277,0.5907237,-11.085491,4917,0,2,0
44160660,-0.060468256,-0.05081602,-0.009644899,5001,0,-1.2495494,-0.99404377,-9.47443,4918,0,2,0
44165661,0.08720298,0.039853293,0.017081669,5001,0,2.297927,0.1845356,-10.640255,4918,0,2,0
44170662,-0.060145054,-0.033703353,-0.011609386,5001,0,-0.6776142,-0.95095515,-9.3561,4918,0,2,0
44175663,0.09591068,0.014681073,0.014308006,5001,0,1.7794336,-0.34656185,-10.295522,4918,0,2,0
44180664,-0.047164235,-0.02470539,-0.0062490227,5001,0,-0.12430194,-0.8307261,-9.673378,4917,0,2,0
44185665,0.07366468,-0.018363904,0.009389951,5001,0,1.383897,-0.8111135,-10.077124,4918,0,2,0
44190666,-0.05538946,0.00954399,-0.014108927,5001,0,0.5188541,-0.6840016,-9.96575,4918,0,2,0
44195667,0.0392789,-0.041702088,0.016035778,5001,0,0.4067207,-0.86014295,-9.960429,4918,0,2,0
44200668,-0.03750222,0.02862656,-0.006761237,5001,0,1.4086143,-0.23018506,-10.70926,4918,0,2,0
44205669,-0.01282819,-0.047401298,-0.005099666,5001,0,-0.4376551,-1.1380613,-9.734101,4918,0,2,0
44210670,0.0005739218,0.057082552,0.0004655323,5001,0,1.9768344,0.27303648,-10.845749,4918,0,2,0
44215671,-0.04530148,-0.05164884,-0.0045871018,5001,0,-0.92160493,-0.9837307,-9.121357,4918,0,2,0
44220672,0.04145709,0.060445204,0.006247536,5001,0,2.5176086,0.5606064,-11.054495,4917,0,2,0
44225674,-0.05981126,-0.05205827,-9.640796e-05,5002,0,-1.3110508,-1.1326033,-8.570519,4918,0,2,0
44230675,0.07316797,0.04537813,0.012572363,5001,0,2.6714,0.4580566,-10.660751,4918,0,2,0
44235676,-0.053661097,-0.049310543,-0.004340126,5001,0,-1.0696102,-1.2117031,-8.351945,4917,0,2,0
44240677,0.08260253,0.0060191005,0.014378091,5001,0,0.99783653,-0.5854717,-9.569244,7376,0,2,0
44245678,-0.032537967,-0.026559038,-0.0090243695,5001,0,1.7369592,-0.43449223,-10.32571,4918,0,2,0
44250679,0.05271413,-0.015845172,0.008139346,5001,0,-0.6153762,-1.2477354,-9.090807,4917,0,2,0
44255680,-0.042959467,0.009846029,-0.011983672,5001,0,2.4395485,0.33347014,-10.809566,4918,0,2,0
44260681,0.011898243,-0.0413623,0.011059958,5001,0,-1.1447474,-1.142415,-8.895921,4920,0,2,0
44265682,-0.0075187106,0.042444192,-0.0038487816,5001,0,2.4990242,0.29797682,-11.229738,4914,0,2,0
44270683,-0.010895313,-0.0442484,0.0012166726,5001,0,-1.1836239,-1.1755518,-8.63858,4918,0,2,0
44275684,0.034558948,0.052275315,0.0031097063,5001,0,2.4792523,0.0285674,-10.534549,4917,0,2,0
44280685,-0.026553273,-0.07033656,-0.00635086,5001,0,-0.9869497,-1.053252,-8.802192,4918,0,2,0
44285686,0.05414325,0.0390257,0.0048535066,5001,0,1.8463604,-0.26811153,-10.387782,4918,0,2,0
44290687,-0.044250403,-0.048441038,-0.0045857327,5001,0,-0.29582796,-0.90816945,-9.157554,4917,0,2,0
44295688,0.04305778,0.011365924,0.0064245216,5001,0,1.3906951,-0.34007612,-10.050491,4917,0,2,0
44300689,-0.04644204,-0.046461042,-0.0018809623,5001,0,0.34410343,-0.16860309,-9.808568,4918,0,2,0
44305690,0.044071965,0.0032941098,0.00773699,5001,0,0.609745,-0.6157414,-9.9544,4918,0,2,0
44310691,-0.025140569,-0.0072379177,-0.0060496246,5001,0,1.0032613,-0.02605108,-10.063651,4917,0,2,0
44315692,0.009792208,-0.024601733,0.0072239866,5001,0,0.053715065,-0.80169964,-9.379265,4918,0,2,0
44320693,0.016227053,0.015897267,0.0014452762,5001,0,1.8396548,0.2010519,-10.253158,4918,0,2,0
44325694,0.0038546135,-0.046268743,0.0050575174,5001,0,-0.5609122,-1.5497384,-9.036153,4917,0,2,0
44330695,0.03443654,0.034763478,-0.0013407216,5001,0,2.2412038,-0.24354126,-10.394284,4918,0,2,0
44335696,-0.04703766,-0.07087555,-0.005808301,5001,0,-0.9984018,-1.225861,-8.93054,4917,0,2,0
44340697,0.050962966,0.026312606,0.005780839,5001,0,2.5509577,0.22026858,-10.8466625,4917,0,2,0
44345698,-0.06601932,-0.07228601,-0.011250038,5001,0,-1.3146769,-1.1425873,-9.238421,4918,0,2,0
44350699,0.070476905,0.034200635,0.014799595,5001,0,2.329051,0.15263748,-11.134936,4918,0,2,0
44355700,-0.069797404,-0.043297954,-0.01158303,5001,0,-1.0800569,-0.86416185,-9.335595,4917,0,2,0
44360701,0.07848285,0.037906665,0.014292126,5001,0,2.2702637,0.00801119,-11.093969,4918,0,2,0
44365702,-0.052036345,-0.029968964,-0.0019044505,5001,0,-0.6907054,-0.8940058,-9.1566105,4918,0,2,0
44370703,0.042864725,0.0007343405,0.012509162,5001,0,1.7076306,-0.1433966,-10.622953,4918,0,2,0
44375705,-0.018039934,-0.0030179499,-0.007420909,5002,0,-0.27065077,-0.41742146,-9.49432,4918,0,2,0
44380705,0.019859714,-0.015200108,0.00657417,5000,0,1.4070065,-0.78414977,-10.410527,4918,0,2,0
44385706,0.026407516,0.022195484,0.009070906,5001,0,1.4985143,-0.42653942,-10.143193,7377,0,2,0
44390707,-0.010068086,-0.04311886,-0.0048464867,5001,0,-1.6699648,-1.6247234,-8.733584,4918,0,2,0
44395708,0.019367961,0.04649859,0.0065226634,5001,0,2.7490978,0.05080798,-11.222506,4918,0,2,0
44400709,-0.057105336,-0.06341973,-0.008961642,5001,0,-1.2951094,-1.119817,-8.591031,4918,0,2,0
44405711,0.024386982,0.050267663,0.0041938573,5002,0,2.144867,0.16156688,-10.947505,4918,0,2,0
44410712,-0.06889655,-0.05879273,-0.01374747,5001,0,-0.6874899,-0.40621558,-8.9732895,4918,0,2,0
44415713,0.07365779,0.04580286,0.01204817,5001,0,1.5455837,-0.28210643,-10.344482,4917,0,2,0
44420714,-0.056146935,-0.046329785,-0.0032883077,5001,0,0.18103306,-0.4096538,-9.09752,4918,0,2,0
44425715,0.096206255,0.0329273,0.017186636,5001,0,1.0471556,-1.0201062,-9.761865,4917,0,2,0
44430716,-0.06282463,-0.028146127,-0.0145215895,5001,0,0.75980556,-0.3001028,-9.765137,4918,0,2,0
44435717,0.07401481,-0.0052675526,0.012985163,5001,0,0.34310862,-1.0224842,-9.657625,4918,0,2,0
44440718,-0.06504079,-0.00359372,-0.016131617,5001,0,1.5763111,0.32103604,-10.424665,4917,0,2,0
44445719,0.026117941,-0.026431521,0.010153503,5001,0,-0.48483568,-1.0594473,-9.265534,4918,0,2,0
44450720,-0.001990052,0.028485658,0.0010715667,5001,0,2.2405734,0.41642153,-10.658694,4918,0,2,0
44455721,-0.0065885275,-0.037893116,-0.0060133366,5001,0,-1.1312565,-1.4724388,-9.056076,4917,0,2,0
44460722,0.048424657,0.043953467,0.010265616,5001,0,2.8408468,0.5107265,-10.787762,4917,0,2,0
44465723,-0.05316877,-0.06027471,-0.0050466973,5001,0,-1.3902279,-1.5476042,-8.472344,4918,0,2,0
44470724,0.08846183,0.03494784,0.017005533,5001,0,2.874487,0.45615977,-10.672254,4917,0,2,0
44475725,-0.060084395,-0.07151196,-0.0063498546,5001,0,-1.3578744,-1.7081143,-8.659985,4918,0,2,0
44480726,0.076062985,0.03486528,0.0009965249,5001,0,2.5066862,0.08316715,-10.713255,4918,0,2,0
44485727,-0.06887971,-0.05881336,-0.005379841,5001,0,-1.0350374,-1.1326684,-8.736432,4917,0,2,0
44490728,0.073353685,0.008649451,0.012276734,5001,0,2.1598356,-0.16465196,-10.820456,4917,0,2,0
44495729,-0.07076104,-0.02111065,-0.01278479,5001,0,-0.6591332,-0.64683217,-9.524436,4918,0,2,0
44500730,0.044542655,-0.012388555,0.010184734,5001,0,1.6789422,-0.27879423,-10.544848,4918,0,2,0
44505731,-0.04027891,0.009915728,-0.004709612,5001,0,-0.0010791441,-0.13158737,-9.894608,4918,0,2,0
44510732,0.029396614,-0.029840805,0.0023976427,5001,0,0.95542973,-0.46171698,-10.028507,5409,0,2,0
44515733,0.011989763,0.030485323,0.003626531,5001,0,2.1020412,0.45063287,-10.387992,4918,0,2,0
44520734,0.0017798117,-0.04614608,-0.002114338,5001,0,-0.48539898,-1.4616433,-9.358224,4917,0,2,0
44525735,0.050663676,0.04669547,0.0050616763,5001,0,2.2728899,0.25831804,-10.4654,4918,0,2,0
44530736,-0.017831137,-0.06942537,-0.0032333292,5001,0,-0.9797483,-1.7986403,-8.895388,4918,0,2,0
44535737,0.055956982,0.040180366,0.0012781185,5001,0,2.7631254,0.07816641,-10.783162,4918,0,2,0
44540738,-0.06845302,-0.06708445,-0.007948128,5001,0,-1.433999,-1.6776426,-8.793164,4918,0,2,0
44545739,0.06758977,0.029564388,0.011113691,5001,0,2.6796072,0.33969608,-11.18729,4917,0,2,0
44550740,-0.10739329,-0.050853062,-0.015652474,5001,0,-1.5780277,-1.2722653,-9.080132,4917,0,2,0
44555742,0.07042432,0.017963605,0.021874702,5002,0,2.5247622,0.82332635,-11.240933,4918,0,2,0
44560742,-0.06200687,-0.008538237,-0.010755412,5000,0,0.526675,-0.08356046,-9.978631,7377,0,2,0
44565744,0.074531324,0.0012262567,0.02163361,5002,0,-0.7442573,-1.2405077,-9.091727,4918,0,2,0
44570744,-0.028532455,0.024126649,-0.009827371,5000,0,2.4626606,0.24189314,-10.651349,4918,0,2,0
44575746,0.060283627,-0.03504869,0.008153629,5002,0,-1.0094849,-1.6250037,-8.58454,4918,0,2,0
44580747,-0.018785207,0.025789011,-0.0011594037,5001,0,2.5326235,-0.077002205,-10.897777,4917,0,2,0
44585748,0.013584874,-0.057603918,-0.0020464016,5001,0,-1.287773,-1.7930735,-8.540853,4917,0,2,0
