timestamp,time_estimate,safe_time_estimate,valid
390427019,0.0,0.0,0
391446822,0.0,0.0,0
392466672,0.0,0.0,0
393486260,0.0,0.0,0
394506015,0.0,0.0,0
395525807,0.0,0.0,0
396545581,0.0,0.0,0
397565608,0.0,0.0,0
398585104,0.0,0.0,0
399604880,0.0,0.0,0
400624573,0.0,0.0,0
401644351,0.0,0.0,0
402664287,0.0,0.0,0
403683916,0.0,0.0,0
404703693,0.0,0.0,0
405723349,0.0,0.0,0
406743066,0.0,0.0,0
407762862,0.0,0.0,0
408782915,0.0,0.0,0
409805060,0.0,0.0,0
410832166,0.0,0.0,0
411852037,0.0,0.0,0
412871685,0.0,0.0,0
413891434,0.0,0.0,0
414911271,0.0,0.0,0
415920955,0.0,0.0,0
416940642,0.0,0.0,0
417960407,0.0,0.0,0
418980326,0.0,0.0,0
419999993,0.0,0.0,0
421019739,0.0,0.0,0
422039529,0.0,0.0,0
423059268,0.0,0.0,0
424079015,0.0,0.0,0
425098761,0.0,0.0,0
426113595,0.0,0.0,0
427138304,0.0,0.0,0
