timestamp,imbalanced_prop_metric,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_high_wind,fd_battery,fd_imbalanced_prop
389872764,nan,0,0,0,0,0,0,0,0
390377774,nan,0,0,0,0,0,0,0,0
390887867,nan,0,0,0,0,0,0,0,0
391397861,nan,0,0,0,0,0,0,0,0
391907723,nan,0,0,0,0,0,0,0,0
392417607,nan,0,0,0,0,0,0,0,0
392927662,nan,0,0,0,0,0,0,0,0
393437783,nan,0,0,0,0,0,0,0,0
393947732,nan,0,0,0,0,0,0,0,0
394457644,nan,0,0,0,0,0,0,0,0
394967864,nan,0,0,0,0,0,0,0,0
395477780,nan,0,0,0,0,0,0,0,0
395987497,nan,0,0,0,0,0,0,0,0
396496881,nan,0,0,0,0,0,0,0,0
397006638,nan,0,0,0,0,0,0,0,0
397516821,nan,0,0,0,0,0,0,0,0
398026807,nan,0,0,0,0,0,0,0,0
398536826,nan,0,0,0,0,0,0,0,0
399046861,nan,0,0,0,0,0,0,0,0
399556779,nan,0,0,0,0,0,0,0,0
400067055,nan,0,0,0,0,0,0,0,0
400576615,nan,0,0,0,0,0,0,0,0
401086689,nan,0,0,0,0,0,0,0,0
401596938,nan,0,0,0,0,0,0,0,0
402107000,nan,0,0,0,0,0,0,0,0
402616483,nan,0,0,0,0,0,0,0,0
403125499,nan,0,0,0,0,0,0,0,0
403634850,nan,0,0,0,0,0,0,0,0
404145005,nan,0,0,0,0,0,0,0,0
404655019,nan,0,0,0,0,0,0,0,0
405164524,nan,0,0,0,0,0,0,0,0
405673746,nan,0,0,0,0,0,0,0,0
406183834,nan,0,0,0,0,0,0,0,0
406693963,nan,0,0,0,0,0,0,0,0
407203799,nan,0,0,0,0,0,0,0,0
407713886,nan,0,0,0,0,0,0,0,0
408223769,nan,0,0,0,0,0,0,0,0
408734137,nan,0,0,0,0,0,0,0,0
409244360,nan,0,0,0,0,0,0,0,0
409753775,nan,0,0,0,0,0,0,0,0
410263593,nan,0,0,0,0,0,0,0,0
410772816,nan,0,0,0,0,0,0,0,0
411282861,nan,0,0,0,0,0,0,0,0
411792976,nan,0,0,0,0,0,0,0,0
412302864,nan,0,0,0,0,0,0,0,0
412812961,nan,0,0,0,0,0,0,0,0
413322896,nan,0,0,0,0,0,0,0,0
413832850,nan,0,0,0,0,0,0,0,0
414342442,nan,0,0,0,0,0,0,0,0
414851735,nan,0,0,0,0,0,0,0,0
415361592,nan,0,0,0,0,0,0,0,0
415870456,nan,0,0,0,0,0,0,0,0
416379837,nan,0,0,0,0,0,0,0,0
416889167,nan,0,0,0,0,0,0,0,0
417398568,nan,0,0,0,0,0,0,0,0
417907355,nan,0,0,0,0,0,0,0,0
418416457,nan,0,0,0,0,0,0,0,0
418925824,nan,0,0,0,0,0,0,0,0
419435998,nan,0,0,0,0,0,0,0,0
419945735,nan,0,0,0,0,0,0,0,0
420455765,nan,0,0,0,0,0,0,0,0
420966106,nan,0,0,0,0,0,0,0,0
421475898,nan,0,0,0,0,0,0,0,0
421985740,nan,0,0,0,0,0,0,0,0
422495571,nan,0,0,0,0,0,0,0,0
423004647,nan,0,0,0,0,0,0,0,0
423515024,nan,0,0,0,0,0,0,0,0
424024827,nan,0,0,0,0,0,0,0,0
424534876,nan,0,0,0,0,0,0,0,0
425044974,nan,0,0,0,0,0,0,0,0
425555097,nan,0,0,0,0,0,0,0,0
426064991,nan,0,0,0,0,0,0,0,0
426574806,nan,0,0,0,0,0,0,0,0
427084664,nan,0,0,0,0,0,0,0,0
427594762,nan,0,0,0,0,0,0,0,0
