timestamp,load,ram_usage
389827159,0.21727645,0.3653388
390327112,0.2638092,0.36538914
390827399,0.24796522,0.36538914
391326829,0.24520022,0.36538914
391826795,0.23471588,0.36538914
392326817,0.23431045,0.36538914
392826794,0.233486,0.36538914
393326794,0.23670554,0.36538914
393826815,0.23234844,0.36538914
394326794,0.23537397,0.36538914
394826795,0.23372,0.36538914
395326807,0.23601478,0.36538914
395826794,0.23417717,0.36538914
396326794,0.23507601,0.36538914
396826795,0.23513556,0.36538914
397326795,0.23521245,0.36538914
397826795,0.233006,0.36538914
398326794,0.235178,0.36538914
398826824,0.23361802,0.36538914
399326810,0.23609602,0.36538914
399826795,0.23393202,0.36538914
400326842,0.23447156,0.36538914
400826794,0.23431045,0.36538914
401326798,0.23525411,0.36538914
401826794,0.23299587,0.36538914
402326796,0.23601305,0.36538914
402826796,0.23304248,0.36538914
403326795,0.23474246,0.36538914
403826795,0.23515803,0.36538914
404326795,0.23568398,0.36538914
404826794,0.23405802,0.36538914
405326795,0.23445803,0.36538914
405826943,0.23431224,0.36538914
406326796,0.2348299,0.36538914
406826902,0.23376799,0.36538914
407326795,0.234766,0.36538914
407826794,0.23527753,0.36538914
408326794,0.23446447,0.36538914
408826795,0.23493803,0.36538914
409326794,0.23427802,0.36538914
409826799,0.23601764,0.36538914
410326795,0.23386633,0.36538914
410827094,0.2349115,0.36538914
411327100,0.23337495,0.36538914
411826854,0.2351703,0.36538914
412326872,0.23508906,0.36538914
412826794,0.23518717,0.36538914
413326795,0.23355001,0.36538914
413826795,0.22829354,0.36538914
414326973,0.23369974,0.36538914
414826839,0.2347225,0.36538914
415326794,0.23404253,0.36538914
415826795,0.23484403,0.36538914
416326794,0.234442,0.36538914
416826795,0.23911601,0.36538914
417326844,0.23540658,0.36538914
417826795,0.23487937,0.36538914
418326795,0.23404598,0.36538914
418826822,0.23424798,0.36538914
419326795,0.23303598,0.36538914
419826794,0.23681599,0.36538914
420326795,0.23491597,0.36538914
420826795,0.235538,0.36538914
421327266,0.23357552,0.36538914
421826795,0.23466045,0.36538914
422326795,0.23537356,0.36538914
422826795,0.23344648,0.36538914
423326795,0.23350751,0.36538914
423826795,0.2360645,0.36538914
424326795,0.23801398,0.36538914
424826794,0.23560601,0.36538914
425326794,0.23611999,0.36538914
425826795,0.23498398,0.36538914
426326794,0.2401725,0.36538914
426826796,0.23735905,0.36538914
427326813,0.2447592,0.36538914
