timestamp,timestamp_sample,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
783409622,783376533,12.261508,12.326137,19.956034,1.0
784504365,784437806,11.746352,11.808377,19.956034,1.0
785494129,785466474,12.38695,12.452339,19.956034,1.0
786388920,786356955,12.345279,12.410472,19.956034,1.0
787483665,787451600,12.345279,12.410406,19.956034,1.0
788448435,788420895,12.070901,12.134614,19.956034,1.0
789488196,789456098,12.006693,12.070137,19.956034,1.0
790477966,790445473,12.261508,12.3263,19.956034,1.0
791507833,791480686,12.177163,12.241585,19.956034,1.0
792497494,792469822,11.636158,11.697448,19.956034,1.0
793472270,793445702,12.177163,12.241489,19.956034,1.0
794447047,794415128,12.261508,12.326285,19.956034,1.0
795451849,795424278,12.177163,12.241499,19.956034,1.0
796466568,796439581,12.177163,12.241335,19.956034,1.0
797481332,797454957,11.855521,11.918087,19.956034,1.0
798471101,798444055,11.963696,12.026884,19.956034,1.0
799485864,799453055,12.006695,12.070228,19.956034,1.0
800475643,800448653,11.746352,11.808445,19.956034,1.0
801475399,801342314,12.282505,12.347474,19.956034,1.0
802440176,802407061,12.345279,12.410527,19.956034,1.0
803454947,803422493,11.920545,11.98361,19.956034,1.0
804469702,804444553,12.177163,12.241499,19.956034,1.0
805459477,805426984,11.746352,11.808337,19.956034,1.0
806474233,806442514,12.092228,12.156211,19.956034,1.0
807464005,807431619,12.261508,12.326307,19.956034,1.0
808438779,808386519,12.261508,12.326238,19.956034,1.0
809493562,809482471,12.177163,12.241398,19.956034,1.0
810458306,810432073,12.282503,12.3474045,19.956034,1.0
811498131,811474281,11.963696,12.026827,19.956034,1.0
812477834,812450255,12.177163,12.241543,19.956034,1.0
813437618,813402943,12.695132,12.7622,19.956034,1.0
814492377,814461052,12.092228,12.156119,19.956034,1.0
815457141,815423786,12.092228,12.156113,19.956034,1.0
816511901,816478783,12.177163,12.2415695,19.956034,1.0
817471700,817419247,12.035273,12.098975,19.956034,1.0
818476479,818469879,12.177163,12.241678,19.956034,1.0
