timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch
782398642,782365717,1,6,0,0,0,0,0,0,0,0,0
783413448,783380518,1,6,0,0,0,0,0,0,0,0,0
784428133,784395238,1,6,0,0,0,0,0,0,0,0,0
785437913,785405062,1,6,0,0,0,0,0,0,0,0,0
786457837,786429776,1,6,0,0,0,0,0,0,0,0,0
787472516,787439546,1,6,0,0,0,0,0,0,0,0,0
788502195,788469357,1,6,0,0,0,0,0,0,0,0,0
789531974,789499079,1,6,0,0,0,0,0,0,0,0,0
790561665,790528817,1,6,0,0,0,0,0,0,0,0,0
791591579,791558594,1,6,0,0,0,0,0,0,0,0,0
792611164,792578403,1,6,0,0,0,0,0,0,0,0,0
793630958,793598108,1,6,0,0,0,0,0,0,0,0,0
794650819,794617872,1,6,0,0,0,0,0,0,0,0,0
795665473,795632647,1,6,0,0,0,0,0,0,0,0,0
796685290,796652411,1,6,0,0,0,0,0,0,0,0,0
797710077,797677287,1,6,0,0,0,0,0,0,0,0,0
798729781,798696914,1,6,0,0,0,0,0,0,0,0,0
799754498,799726685,1,6,0,0,0,0,0,0,0,0,0
800774291,800746433,1,6,0,0,0,0,0,0,0,0,0
801784246,801751212,1,6,0,0,0,0,0,0,0,0,0
802808905,802775985,1,6,0,0,0,0,0,0,0,0,0
803828559,803795721,1,6,0,0,0,0,0,0,0,0,0
804838441,804805565,1,6,0,0,0,0,0,0,0,0,0
805858167,805825262,1,6,0,0,0,0,0,0,0,0,0
806872833,806844998,1,6,0,0,0,0,0,0,0,0,0
807882679,807854797,1,6,0,0,0,0,0,0,0,0,0
808907407,808874593,1,6,0,0,0,0,0,0,0,0,0
809937096,809904300,1,6,0,0,0,0,0,0,0,0,0
810956870,810929060,1,6,0,0,0,0,0,0,0,0,0
811971713,811938821,1,6,0,0,0,0,0,0,0,0,0
812991375,812958608,1,6,0,0,0,0,0,0,0,0,0
814001173,813968472,1,6,0,0,0,0,0,0,0,0,0
815031087,814998160,1,6,0,0,0,0,0,0,0,0,0
816045743,816017883,1,6,0,0,0,0,0,0,0,0,0
817065574,817037661,1,6,0,0,0,0,0,0,0,0,0
818090252,818057401,1,6,0,0,0,0,0,0,0,0,0
819105091,819072201,1,6,0,0,0,0,0,0,0,0,0
