timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
975622961,975622746,2490378,2490378,2.721899e-05,2.56134e-05,2.3931354e-05,-0.004206066,0.0019644299,-0.050354574,4977,4977,0,1,1
976125586,976125392,2490378,2490378,3.9592556e-05,1.0112903e-05,-1.728503e-05,-0.0029504653,0.0026154136,-0.049241103,4976,4976,0,1,1
976623255,976623060,2490378,2490378,-1.8903134e-05,-1.0407402e-05,-1.0853117e-05,-0.0034730257,0.002420753,-0.051203217,4976,4976,0,1,1
977120973,977120729,2490378,2490378,-0.00016180803,2.6200858e-05,-3.0363404e-05,-0.003336723,0.0019196902,-0.049436603,4976,4976,0,1,1
977623572,977623375,2490378,2490378,-2.5306046e-05,4.9809092e-05,3.9815372e-06,-0.003263325,0.001442029,-0.05016413,4977,4977,0,1,1
978121238,978121044,2490378,2490378,1.7033479e-05,-4.0195257e-05,-5.673001e-05,-0.0031843614,0.0021770694,-0.051329505,4977,4977,0,1,1
978623897,978623689,2490378,2490378,-4.9638845e-07,7.2213975e-06,-4.0527957e-06,-0.0035051384,0.001992557,-0.049208026,4977,4977,0,1,1
979126529,979126334,2490378,2490378,-9.191878e-05,2.9448112e-05,2.9979912e-05,-0.0036937692,0.0018229112,-0.050203755,4976,4976,0,1,1
979624218,979624003,2490378,2490378,-0.00015883162,5.559646e-06,-1.0015807e-05,-0.003047781,0.0026146017,-0.049750455,4977,4977,0,1,1
980126872,980126649,2490378,2490378,-6.303853e-06,-7.124509e-05,-4.1870404e-05,-0.0037537266,0.0021610262,-0.049548216,4977,4977,0,1,1
980624513,980624317,2490378,2490378,-0.00013391668,-8.20395e-06,-1.4641489e-05,-0.0033988582,0.0018434576,-0.050276723,4976,4976,0,1,1
981122181,981121986,2490378,2490378,-4.8509373e-05,-2.1685088e-05,-1.434654e-05,-0.0035084707,0.0017118894,-0.049211174,4977,4977,0,1,1
981624826,981624631,2490378,2490378,-4.4497723e-05,-3.39112e-05,-1.40136935e-05,-0.002935833,0.0008669275,-0.04958443,4976,4976,0,1,1
982122493,982122300,2490378,2490378,7.617417e-05,-1.1509771e-05,-2.6364987e-05,-0.0035033014,0.0009930346,-0.049548056,4976,4976,0,1,1
982625141,982624946,2490378,2490378,-1.1142279e-06,3.051457e-05,-3.0765324e-05,-0.0034559425,0.0014076659,-0.047386467,4977,4977,0,1,1
983122808,983122614,2490378,2490378,3.1617135e-05,-5.2972364e-06,-2.2081913e-05,-0.003490468,0.0009081496,-0.04919415,4976,4976,0,1,1
983625484,983625260,2490378,2490378,6.390145e-05,-1.9257035e-05,-2.5612237e-06,-0.0038192135,0.0018509331,-0.049723372,4977,4977,0,1,1
984123122,984122928,2490378,2490378,-7.475278e-05,2.3635463e-05,-5.8600435e-06,-0.0024185777,0.0031442188,-0.048545912,4976,4976,0,1,1
984620827,984620599,2490378,2490378,3.854061e-06,4.2564126e-05,7.351248e-06,-0.0029032468,0.0009778863,-0.050712556,4979,4979,0,1,1
