timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
954715259,0,0,0,1,0,0,0,0,0,0,0
955725066,0,0,0,1,0,0,0,0,0,0,0
956734830,0,0,0,1,0,0,0,0,0,0,0
957744603,0,0,0,1,0,0,0,0,0,0,0
958754358,0,0,0,1,0,0,0,0,0,0,0
959764096,0,0,0,1,0,0,0,0,0,0,0
960773880,0,0,0,1,0,0,0,0,0,0,0
961783635,0,0,0,1,0,0,0,0,0,0,0
962793442,0,0,0,1,0,0,0,0,0,0,0
963803204,0,0,0,1,0,0,0,0,0,0,0
964812950,0,0,0,1,0,0,0,0,0,0,0
965822793,0,0,0,1,0,0,0,0,0,0,0
966832509,0,0,0,1,0,0,0,0,0,0,0
967842323,0,0,0,1,0,0,0,0,0,0,0
968852041,0,0,0,1,0,0,0,0,0,0,0
969861826,0,0,0,1,0,0,0,0,0,0,0
970871598,0,0,0,1,0,0,0,0,0,0,0
971881353,0,0,0,1,0,0,0,0,0,0,0
972891088,0,0,0,1,0,0,0,0,0,0,0
973900917,0,0,0,1,0,0,0,0,0,0,0
974910633,0,0,0,1,0,0,0,0,0,0,0
975920434,0,0,0,1,0,0,0,0,0,0,0
976930158,0,0,0,1,0,0,0,0,0,0,0
977939921,0,0,0,1,0,0,0,0,0,0,0
978949700,0,0,0,1,0,0,0,0,0,0,0
979959450,0,0,0,1,0,0,0,0,0,0,0
980969291,0,0,0,1,0,0,0,0,0,0,0
981978983,0,0,0,1,0,0,0,0,0,0,0
982988771,0,0,0,1,0,0,0,0,0,0,0
983998535,0,0,0,1,0,0,0,0,0,0,0
985008333,0,0,0,1,0,0,0,0,0,0,0
986018084,0,0,0,1,0,0,0,0,0,0,0
987027932,0,0,0,1,0,0,0,0,0,0,0
988037605,0,0,0,1,0,0,0,0,0,0,0
989047429,0,0,0,1,0,0,0,0,0,0,0
990057134,0,0,0,1,0,0,0,0,0,0,0
991066933,0,0,0,1,0,0,0,0,0,0,0
992076660,0,0,0,1,0,0,0,0,0,0,0
993086474,0,0,0,1,0,0,0,0,0,0,0
