timestamp,safety_switch_available,safety_off
955338608,1,1
956347611,1,1
957355630,1,1
958363607,1,1
959371672,1,1
960379632,1,1
961388792,1,1
962397607,1,1
963406607,1,1
964414607,1,1
965423608,1,1
966432612,1,1
967440639,1,1
968449630,1,1
969457608,1,1
970466731,1,1
971475610,1,1
972484607,1,1
973493618,1,1
974501607,1,1
975510607,1,1
976519607,1,1
977528630,1,1
978537607,1,1
979546609,1,1
980555607,1,1
981564631,1,1
982572630,1,1
983577607,1,1
984586634,1,1
985595607,1,1
986604608,1,1
987613607,1,1
988622630,1,1
989630612,1,1
990640607,1,1
991648607,1,1
992656607,1,1
993665612,1,1
