timestamp,load,ram_usage
955326833,0.21585804,0.3653388
955826798,0.27406627,0.36538914
956326850,0.244169,0.36538914
956826795,0.25071,0.36538914
957326795,0.23160797,0.36538914
957826842,0.23372155,0.36538914
958326795,0.23199046,0.36538914
958827008,0.23365295,0.36538914
959326804,0.23258644,0.36538914
959826802,0.23262495,0.36538914
960326795,0.23186725,0.36538914
960826817,0.23435616,0.36538914
961326794,0.23265731,0.36538914
961826796,0.23558849,0.36538914
962326795,0.23233998,0.36538914
962826812,0.23241001,0.36538914
963326795,0.233082,0.36538914
963826827,0.23331952,0.36538914
964326794,0.2313779,0.36538914
964826794,0.23325044,0.36538914
965326795,0.23289353,0.36538914
965826796,0.23361248,0.36538914
966326818,0.2311809,0.36538914
966826795,0.23398322,0.36538914
967327628,0.23140955,0.36538914
967826811,0.23423445,0.36538914
968326815,0.23105401,0.36538914
968827065,0.23355484,0.36538914
969326999,0.2328558,0.36538914
969826864,0.23377115,0.36538914
970326794,0.23214805,0.36538914
970826796,0.22670603,0.36538914
971326794,0.23202598,0.36538914
971826794,0.23347199,0.36538914
972326796,0.23169398,0.36538914
972826796,0.23389399,0.36538914
973326795,0.231502,0.36538914
973826798,0.23338002,0.36538914
974326796,0.231888,0.36538914
974826797,0.23321998,0.36538914
975326857,0.23255259,0.36538914
975826812,0.23383301,0.36538914
976326794,0.23220849,0.36538914
976826817,0.232562,0.36538914
977326810,0.23307455,0.36538914
977826796,0.2318874,0.36538914
978326795,0.234348,0.36538914
978826795,0.23257202,0.36538914
979326865,0.23330998,0.36538914
979826799,0.2326271,0.36538914
980326794,0.2476545,0.36538914
980826796,0.23281044,0.36538914
981326796,0.23257351,0.36538914
981826795,0.23177248,0.36538914
982326830,0.23306507,0.36538914
982826796,0.23288691,0.36538914
983326800,0.23464507,0.36538914
983826795,0.24624348,0.36538914
984326796,0.23369104,0.36538914
984826794,0.23302448,0.36538914
985326812,0.24767709,0.36538914
985826795,0.23352057,0.36538914
986326794,0.23266,0.36538914
986826799,0.23347062,0.36538914
987326795,0.246077,0.36538914
987826841,0.23331255,0.36538914
988326836,0.24769497,0.36538914
988826833,0.23278588,0.36538914
989326825,0.23400283,0.36538914
989826823,0.2463255,0.36538914
990327154,0.23288679,0.36538914
990827680,0.2328434,0.36538914
991327007,0.24924302,0.36538914
991826926,0.23277617,0.36538914
992326852,0.2318613,0.36538914
992826794,0.232642,0.36538914
993326794,0.24528551,0.36538914
993826794,0.2432825,0.36538914
