timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
955366772,0,0.43951613,-0.43265307,-0.057142857,-1.0,0.0,1.0,0.0,0.0
955386834,0,0.43346775,-0.4265306,-0.06530612,-1.0,0.0,1.0,0.0,0.0
955476778,0,0.39919356,-0.45306122,-0.09795918,-1.0,0.0,1.0,0.0,0.0
955561734,0,0.5695565,-0.422449,0.04489796,-1.0,0.0,1.0,0.0,0.0
955676746,0,0.5393145,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
955776693,0,0.50403225,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
955876649,0,0.5090726,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
955971648,0,0.5282258,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
956066619,0,0.5201613,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
956166602,0,0.5,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
956236644,0,0.5090726,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
956361649,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
956461576,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
956531487,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
956696909,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
956741548,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
956831545,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
956906483,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
957221482,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
957456296,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
957481237,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
957551240,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
957601215,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
957926182,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
958246093,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
958291076,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
958341143,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
958361091,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
958481023,0,0.5080645,-0.42040816,0.0,-1.0,0.0,1.0,0.0,0.0
