timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
956046862,956045922,396321,-0.32954544,0.23863636,0.14469697,nan,0
957062042,957061103,396321,-0.3280303,0.23712121,0.13939394,nan,0
958055601,958054661,396321,-0.33863634,0.23560606,0.14469697,nan,0
959049215,959048276,396321,-0.325,0.23863636,0.14318182,nan,0
960064493,960063553,396321,-0.3333333,0.23560606,0.14166667,nan,0
961058161,961057222,396321,-0.3333333,0.23787878,0.14848484,nan,0
962051636,962050696,396321,-0.32575756,0.23712121,0.14848484,nan,0
963066839,963065900,396321,-0.34015152,0.23712121,0.14015152,nan,0
964060468,964059529,396321,-0.32878786,0.23787878,0.14166667,nan,0
965054014,965053074,396321,-0.33181816,0.23484848,0.14318182,nan,0
966069252,966068312,396321,-0.34166667,0.23712121,0.13787879,nan,0
967062813,967061873,396321,-0.3242424,0.23333332,0.14696969,nan,0
968056450,968055511,396321,-0.3363636,0.22954544,0.14469697,nan,0
969050001,969049061,396321,-0.3310606,0.23787878,0.14621212,nan,0
970065259,970064319,396321,-0.32575756,0.23787878,0.14318182,nan,0
971058839,971057899,396321,-0.34166667,0.23636363,0.14166667,nan,0
972052468,972051528,396321,-0.32954544,0.23636363,0.13939394,nan,0
973067654,973066704,396321,-0.32878786,0.23636363,0.13787879,nan,0
974061233,974060292,396321,-0.33787876,0.23636363,0.14166667,nan,0
975054875,975053936,396321,-0.3272727,0.23636363,0.13939394,nan,0
976048501,976047561,396321,-0.33257574,0.23636363,0.14318182,nan,0
977063633,977062693,396321,-0.3333333,0.23787878,0.14621212,nan,0
978057197,978056257,396321,-0.3242424,0.23636363,0.14318182,nan,0
979050781,979049841,396321,-0.34318182,0.23712121,0.14621212,nan,0
980066027,980065088,396321,-0.32651514,0.23863636,0.14621212,nan,0
981059595,981058655,396321,-0.330303,0.23636363,0.14015152,nan,0
982053245,982052305,396321,-0.33787876,0.23560606,0.14015152,nan,0
983068447,983067506,396321,-0.32575756,0.23712121,0.14166667,nan,0
984062044,984061085,396321,-0.33257574,0.23636363,0.14318182,nan,0
985055607,985054667,396321,-0.33257574,0.23560606,0.14166667,nan,0
986049236,986048295,396321,-0.32878786,0.23787878,0.13787879,nan,0
987064454,987063514,396321,-0.34166667,0.23560606,0.14469697,nan,0
988057946,988056996,396321,-0.32954544,0.23712121,0.14015152,nan,0
989051572,989050633,396321,-0.33257574,0.23787878,0.13939394,nan,0
990066896,990065957,396321,-0.34015152,0.23560606,0.14166667,nan,0
991060633,991059693,396321,-0.325,0.23560606,0.14621212,nan,0
992054196,992053257,396321,-0.3340909,0.24318181,0.14166667,nan,0
993047851,993046911,396321,-0.3333333,0.23560606,0.14166667,nan,0
