timestamp,safety_switch_available,safety_off
869641608,1,1
870650608,1,1
871658608,1,1
872666608,1,1
873674608,1,1
874682607,1,1
875690607,1,1
876699607,1,1
877708607,1,1
878717804,1,1
879726610,1,1
880735631,1,1
881744607,1,1
882753607,1,1
883761610,1,1
884770607,1,1
885779607,1,1
886788607,1,1
887796607,1,1
888804812,1,1
889813609,1,1
890818607,1,1
891827646,1,1
892835908,1,1
893842639,1,1
894849607,1,1
895858804,1,1
896866630,1,1
897875607,1,1
898884607,1,1
899893628,1,1
900901631,1,1
901910608,1,1
902919607,1,1
903927607,1,1
904936970,1,1
905945608,1,1
