timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,valid,data_source,sticks_moving
870298783,870297813,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
870318785,870317813,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
870496274,870495285,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
870701232,870700261,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
870866227,870865250,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
871081103,871080129,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
871196091,871195120,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
871501018,871500020,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
871685951,871684981,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
871870940,871869958,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
872095931,872094954,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
872260851,872259855,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
872490764,872489794,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
872655823,872654835,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
872860701,872859732,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
873080784,873079730,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
873250599,873249626,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
873485678,873484695,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
873700481,873699511,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
873770466,873769495,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
874072397,874039594,-0.42040816,0.5080645,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0
